,摘要,关键词,第一章,第二章,第三章,第四章,总词频,加权得分
properorthogonal,0,0,1,0,0,0,1,0.125
正交分解,0,0,1,0,0,0,1,0.125
降阶技术,0,0,1,0,0,0,1,0.125
系数,0,0,1,0,0,0,1,0.125
相位,0,0,1,0,0,0,1,0.125
振幅,0,0,1,0,1,0,2,0.4875
傅里叶变换,0,0,1,0,0,0,1,0.125
时域,0,0,1,0,0,0,1,0.125
小波分解,0,0,1,0,0,0,1,0.125
泰勒分解,0,0,1,0,0,0,1,0.125
分量,0,0,1,0,0,0,1,0.125
细节,0,0,1,0,0,0,1,0.125
信息,0,0,1,1,0,0,2,0.25
高维度动力系统,0,0,1,0,0,0,1,0.125
低维度动力学,0,0,1,0,0,0,1,0.125
提取出系统,0,0,1,0,0,0,1,0.125
资源,0,0,1,0,0,0,1,0.125
矩阵运算,0,0,1,0,0,0,1,0.125
高维系统,0,0,3,0,1,0,4,0.7375
低维近似,0,0,2,0,0,0,2,0.25
高维度系统,0,0,1,0,0,0,1,0.125
降阶,0,0,2,0,0,0,2,0.25
数值分,0,0,1,0,0,0,1,0.125
数学模型,0,0,1,0,0,0,1,0.125
数据收集技术,0,0,1,0,0,0,1,0.125
计算机,0,0,5,0,0,0,5,0.625
微分方程,0,0,8,1,0,0,9,1.125
动力系统,3,0,14,7,1,0,25,5.9875
koopman算符,1,0,26,32,10,2,71,12.6
本征函数,0,0,17,23,10,1,51,8.9875
本征值,0,0,13,22,9,0,44,7.637499999999999
dmd,0,0,7,5,0,0,12,1.5
kmd,0,0,7,0,0,0,7,0.875
可观测量,0,0,9,19,7,0,35,6.0375
koopman,0,0,8,8,7,0,23,4.5375
dmd算法,0,0,6,9,6,0,21,4.05
koopman模式,1,0,7,17,12,0,37,8.35
mezic,0,0,5,0,0,0,5,0.625
空间结构,1,0,3,1,0,0,5,1.5
数值,0,0,4,4,0,0,8,1.0
水平集,0,0,3,1,0,0,4,0.5
性质,0,0,8,4,1,0,13,1.8625
谱性质,1,0,5,6,0,1,13,2.7375
koopman算符理论,0,0,5,2,1,0,8,1.2375
庞加莱映射,0,0,2,0,7,0,9,2.7875
非自治系统,0,0,2,0,0,0,2,0.25
id,0,0,2,0,0,0,2,0.25
非线性动力系统,0,0,5,0,0,0,5,0.625
线性算符,0,0,3,4,0,0,7,0.875
相空间,4,0,16,6,19,1,46,14.0
不变集,0,0,2,0,0,0,2,0.25
op,1,0,2,2,2,0,7,2.225
哈密顿系统,0,0,2,4,7,1,14,3.65
3自由度系统,0,0,1,0,0,0,1,0.125
2自由度系统,0,0,1,0,0,0,1,0.125
全局动力学,0,0,1,0,2,0,3,0.85
自由度耦合振子,0,0,1,0,4,0,5,1.575
耦合振子模型,0,0,1,0,3,0,4,1.2125
运动性质,0,0,2,0,1,0,3,0.6125
相空间特性,1,0,1,0,0,0,2,1.125
粗粒化,1,0,1,0,0,0,2,1.125
非线性系统轨道,1,0,1,0,0,0,2,1.125
不变子集,1,0,1,0,0,0,2,1.125
轨道结构,1,0,1,0,0,0,2,1.125
运动类型,0,0,1,0,0,0,1,0.125
电网,0,0,1,0,0,0,1,0.125
机器人科学网,0,0,1,0,0,0,1,0.125
金融学,0,0,1,0,0,0,1,0.125
等离子体物理学网,0,0,1,0,0,0,1,0.125
神经系统科学,0,0,1,0,0,0,1,0.125
流行病学,0,0,1,0,0,0,1,0.125
流体动力学,0,0,1,0,0,0,1,0.125
线性表示,0,0,1,0,0,0,1,0.125
man,0,0,2,2,1,0,5,0.8625
koopman理论,0,0,2,0,0,0,2,0.25
dmd数值算法,0,0,2,0,0,0,2,0.25
计算机科学技术,1,0,2,0,0,0,3,1.25
数据科学,0,0,2,0,0,0,2,0.25
arno,0,0,1,0,0,0,1,0.125
kmdp8,0,0,1,0,0,0,1,0.125
非自治动力系统,0,0,1,0,0,0,1,0.125
自治系统,0,0,1,0,0,0,1,0.125
数值算法,0,0,1,0,0,0,1,0.125
特征值,0,0,1,12,0,0,13,1.625
edmd矩阵,0,0,1,0,0,0,1,0.125
l-dmd,0,0,1,0,0,0,1,0.125
han,0,0,1,0,0,0,1,0.125
koopman谱,0,0,1,0,0,0,1,0.125
可观测函数向量,0,0,1,0,0,0,1,0.125
可观测函数,0,0,1,2,0,0,3,0.375
伴随矩阵,0,0,1,0,0,0,1,0.125
hankel矩阵,0,0,1,5,6,0,12,2.925
prony方法,0,0,1,0,0,0,1,0.125
ki,0,0,1,0,0,0,1,0.125
su,0,0,1,0,0,0,1,0.125
dmd采样,0,0,1,0,0,0,1,0.125
矩阵,0,0,1,16,3,0,20,3.2125
edmd,0,0,1,0,0,0,1,0.125
exactdmd算法,0,0,1,2,0,0,3,0.375
sc,0,0,1,0,0,0,1,0.125
动力学模式分解,0,0,1,3,0,0,4,0.5
时间序列数据,0,0,1,3,0,0,4,0.5
svd,0,0,1,5,0,0,6,0.75
数据驱动分析,0,0,1,0,0,0,1,0.125
复杂动力系统,0,0,1,0,0,0,1,0.125
koopamn,0,0,1,0,0,0,1,0.125
流体,0,0,2,0,0,0,2,0.25
数值算法动力学模式分解,0,0,1,0,0,0,1,0.125
振荡频率,0,0,2,0,0,0,2,0.25
横流射流场,0,0,1,0,0,0,1,0.125
koopma算符,0,0,1,1,0,0,2,0.25
高维动力系统模型,0,0,1,0,0,0,1,0.125
谱特征,0,0,1,0,0,0,1,0.125
时间复指数,0,0,1,0,0,0,1,0.125
线性,0,0,4,11,8,0,23,4.775
zi,0,0,1,0,0,0,1,0.125
线性组合,0,0,1,0,0,0,1,0.125
抽样,0,0,1,0,0,0,1,0.125
函数空间,0,0,1,0,0,0,1,0.125
koopman模式分解,0,0,1,0,0,0,1,0.125
数值近似,0,0,1,0,0,0,1,0.125
koopman谱分解,0,0,1,1,0,0,2,0.25
动力学结构,0,0,1,0,0,0,1,0.125
全局稳定性,0,0,1,0,0,0,1,0.125
平衡点,0,0,7,1,0,0,8,1.0
不变流形口咒,0,0,1,0,0,0,1,0.125
周期结构,0,0,1,0,0,0,1,0.125
几何结构,1,0,1,0,0,0,2,1.125
底层数学模型,0,0,1,0,0,0,1,0.125
电力系统,0,0,2,0,0,0,2,0.25
传染病力学,0,0,1,0,0,0,1,0.125
流体力学,0,0,1,0,0,0,1,0.125
本征函数口,0,0,1,0,0,0,1,0.125
调和分析,0,0,1,0,0,0,1,0.125
遍历耗散系统,0,0,1,0,0,0,1,0.125
算符理论,0,0,1,1,0,0,2,0.25
谱算符理论,0,0,1,0,0,0,1,0.125
动力学系统,0,0,1,0,0,0,1,0.125
希尔伯特空间,0,0,1,0,0,0,1,0.125
平方可积函数,0,0,1,0,0,0,1,0.125
复合算符,0,0,1,1,0,0,2,0.25
测度保守集,0,0,1,0,0,0,1,0.125
高维复杂非线性系统,0,0,1,0,0,0,1,0.125
无穷维线性算符,0,0,1,0,0,0,1,0.125
非线性系统动力学,0,0,1,0,0,0,1,0.125
koopman算子,0,0,1,0,0,0,1,0.125
2koopman算符理论,0,0,1,0,0,0,1,0.125
nnms,0,0,22,0,0,0,22,2.75
nnm,0,0,7,0,0,0,7,0.875
lnm,0,0,5,0,0,0,5,0.625
lnms,0,0,4,0,0,0,4,0.5
总能量,0,0,3,0,0,0,3,0.375
能量依赖性,0,0,3,0,0,0,3,0.375
周期解,0,0,3,0,0,0,3,0.375
berg,0,0,3,0,0,0,3,0.375
线性理论,0,0,3,0,0,0,3,0.375
变量,0,0,3,1,4,0,8,1.95
流形,0,0,2,1,0,0,3,0.375
位移,0,0,3,0,1,0,4,0.7375
rose,0,0,2,0,0,0,2,0.25
庞加莱,0,0,5,0,2,0,7,1.35
非线性现象,0,0,3,0,0,0,3,0.375
一致振动,0,0,2,0,0,0,2,0.25
非线性耦合振子模型,0,0,2,1,0,0,3,0.375
线性系统理论,0,0,1,0,0,0,1,0.125
数学计算,0,0,1,0,0,0,1,0.125
渐进方,0,0,1,0,0,0,1,0.125
构造技术,0,0,1,0,0,0,1,0.125
正交关系,0,0,1,0,0,0,1,0.125
叠加原理,0,0,1,0,0,0,1,0.125
线性模型,0,0,1,1,0,0,2,0.25
混沌,1,0,16,0,3,0,20,4.0875
模态,0,0,2,0,0,0,2,0.25
极限环,0,0,2,0,0,0,2,0.25
共振,0,0,1,0,0,0,1,0.125
次谐波,0,0,1,0,0,0,1,0.125
饱和,0,0,1,0,0,0,1,0.125
分岔,1,1,11,0,3,0,16,5.4625
跳变,0,0,1,0,0,1,2,0.4875
线性模式,0,0,1,0,0,0,1,0.125
振动结构,0,0,1,0,0,0,1,0.125
降阶模型,0,0,1,0,0,0,1,0.125
非线性振子动力学,0,0,1,0,0,0,1,0.125
计算量,0,0,1,0,0,0,1,0.125
强非线性系统,0,0,1,0,0,0,1,0.125
延拓算法,0,0,1,0,0,0,1,0.125
分析,0,0,1,0,0,0,1,0.125
非线性延拓,0,0,1,0,0,0,1,0.125
线性系统模态,0,0,1,0,0,0,1,0.125
模态分岔,0,0,1,0,0,0,1,0.125
自由度数,0,0,1,0,0,0,1,0.125
硬化特性,0,0,1,0,0,0,1,0.125
能级,0,0,1,0,0,0,1,0.125
非线性模态参数,0,0,1,0,0,0,1,0.125
频率能量图,0,0,1,0,0,0,1,0.125
周期,0,0,2,0,24,0,26,8.95
周期运动,0,0,2,0,4,0,6,1.7
nnm运动,0,0,1,0,0,0,1,0.125
能量图,0,0,1,0,0,0,1,0.125
运动幅度,0,0,1,0,0,0,1,0.125
自由度,0,0,1,1,6,0,8,2.425
运动控制方程,0,0,1,0,0,0,1,0.125
模态曲线,0,0,1,0,0,0,1,0.125
频率响应函数,0,0,1,0,0,0,1,0.125
振动,0,0,2,0,0,0,2,0.25
非线性单自由度系统,0,0,1,0,0,0,1,0.125
柱坐标,0,0,1,0,0,0,1,0.125
状态变量,0,0,1,3,0,0,4,0.5
参数化流形,0,0,1,0,0,0,1,0.125
不变性,0,0,1,0,0,0,1,0.125
二维不变流形,0,0,1,0,0,0,1,0.125
中心流行技术,0,0,1,0,0,0,1,0.125
几何参数,0,0,1,0,0,0,1,0.125
阻尼系统,0,0,1,0,0,0,1,0.125
皿网网,0,0,1,0,0,0,1,0.125
零点,0,0,1,0,0,0,1,0.125
极值,0,0,1,0,0,0,1,0.125
同步振动,0,0,1,0,0,0,1,0.125
性扩展,0,0,1,0,0,0,1,0.125
直接非线,0,0,1,0,0,0,1,0.125
位移比,0,0,1,0,0,0,1,0.125
模态运动,0,0,1,0,0,0,1,0.125
线性保守系统,0,0,1,0,0,0,1,0.125
定义网,0,0,1,0,0,0,1,0.125
正规理论,0,0,1,0,0,0,1,0.125
杜克定理,0,0,1,0,0,0,1,0.125
庞加莱-,0,0,1,0,0,0,1,0.125
非线性扩展,0,0,1,0,0,0,1,0.125
线性化系统,0,0,1,0,0,0,1,0.125
雅普诺夫,0,0,1,0,0,0,1,0.125
n自由度保守系统,0,0,1,0,0,0,1,0.125
无内共振,0,0,1,0,0,0,1,0.125
李雅普诺夫,0,0,1,0,0,0,1,0.125
定量分析,0,0,2,0,0,0,2,0.25
工作网网,0,0,1,0,0,0,1,0.125
数学工具,0,0,1,0,0,0,1,0.125
非线性动力学现,0,0,1,0,0,0,1,0.125
非线性简正模态,0,0,1,0,0,0,1,0.125
非线性结构动力学分析技,0,0,1,0,0,0,1,0.125
模型简化,0,0,1,0,0,0,1,0.125
动力学特征,0,0,1,2,0,0,3,0.375
叠加性,0,0,1,0,0,0,1,0.125
lnm运动,0,0,1,0,0,0,1,0.125
解耦,0,0,1,0,0,0,1,0.125
运动,0,0,4,1,0,0,5,0.625
控制方程,0,0,1,0,0,0,1,0.125
数学性质,0,0,1,0,0,0,1,0.125
linearnormalmode,0,0,1,0,0,0,1,0.125
线性简振模,0,0,1,0,0,0,1,0.125
线性振动系统理论,0,0,1,0,0,0,1,0.125
normalmode,0,0,1,0,0,0,1,0.125
简振模,0,0,1,0,0,0,1,0.125
linearnormalmodes,0,0,1,0,0,0,1,0.125
运动模式,0,0,1,0,0,0,1,0.125
非线性模态,0,0,1,0,0,0,1,0.125
吸引子,0,0,4,2,1,0,7,1.1125
迭代映射,0,0,4,0,0,0,4,0.5
不动点,0,0,4,0,14,0,18,5.575
周期轨道,0,0,3,1,35,0,39,13.1875
奇异吸引子,0,0,3,0,0,0,3,0.375
洛伦兹,0,0,3,0,0,0,3,0.375
初始条件,0,0,3,1,0,0,4,0.5
物理,0,0,3,0,1,0,4,0.7375
牛顿,0,0,3,0,0,0,3,0.375
运动方程,0,0,3,1,5,0,9,2.3125
形变,0,0,2,0,2,0,4,0.975
扰动,0,0,2,0,0,0,2,0.25
稳定性,0,0,2,0,0,0,2,0.25
初始值,0,0,2,0,2,0,4,0.975
运动轨迹,0,0,2,0,0,0,2,0.25
曲线,0,0,2,0,9,0,11,3.5124999999999997
坐标,0,0,2,2,0,0,4,0.5
大气,0,0,2,0,0,0,2,0.25
非线性振子,0,0,3,0,0,0,3,0.375
几何,0,0,2,0,0,0,2,0.25
行星,0,0,2,0,0,0,2,0.25
物理学,0,0,2,0,0,0,2,0.25
线性化,0,0,5,0,0,0,5,0.625
系统性质,0,0,1,0,0,0,1,0.125
临界参数,0,0,1,0,0,0,1,0.125
相空间拓扑结构,0,0,2,0,0,0,2,0.25
相空间几何结构,0,0,1,0,0,0,1,0.125
状态,0,0,1,0,0,0,1,0.125
分岔分析,0,0,1,0,0,0,1,0.125
复杂度,0,0,1,0,0,0,1,0.125
通道,0,0,1,0,0,0,1,0.125
鞍结连接,0,0,1,0,0,0,1,0.125
行为,0,0,1,0,1,0,2,0.4875
系统动力学性质,0,0,2,0,0,0,2,0.25
分岔理论,0,0,1,0,0,0,1,0.125
二维系统,0,0,1,0,0,0,1,0.125
吸引,0,0,1,0,0,0,1,0.125
演化方程,0,0,1,0,1,0,2,0.4875
初值敏感性,0,0,1,0,0,0,1,0.125
初始值误差,0,0,1,0,0,0,1,0.125
稳态,0,0,1,0,0,0,1,0.125
可叠加性,0,0,1,0,0,0,1,0.125
跳跃,0,0,1,0,0,0,1,0.125
非线性动态系统,0,0,1,0,0,0,1,0.125
动力学行为,0,0,2,0,0,0,2,0.25
相空间轨迹图,0,0,1,0,0,0,1,0.125
解析解,0,0,1,0,0,0,1,0.125
有用信息,0,0,1,0,0,0,1,0.125
n维系统,0,0,1,0,0,0,1,0.125
初始点,1,0,1,0,10,0,12,4.75
轨迹,0,0,1,0,0,0,1,0.125
动量,0,0,1,0,0,0,1,0.125
离散时间,0,0,1,0,0,0,1,0.125
电子电路,0,0,1,0,0,0,1,0.125
化学反应,0,0,1,0,0,0,1,0.125
ber,0,0,1,0,0,0,1,0.125
ub,0,0,1,0,0,0,1,0.125
相变,0,0,1,0,0,0,1,0.125
混沌行为,0,0,1,0,0,0,1,0.125
规则行为,0,0,1,0,0,0,1,0.125
线性观念,0,0,1,0,0,0,1,0.125
种群生物学,0,0,1,0,0,0,1,0.125
流体湍流,0,0,1,0,0,0,1,0.125
分形,0,0,1,0,0,0,1,0.125
曲面,0,0,1,0,0,0,1,0.125
三维空间图,0,0,1,0,0,0,1,0.125
预测错误,0,0,1,0,0,0,1,0.125
误差,0,0,1,1,0,0,2,0.25
混沌系统,0,0,1,0,0,0,1,0.125
连续振荡,0,0,1,0,0,0,1,0.125
周期状态,0,0,1,0,0,0,1,0.125
天气,0,0,1,0,0,0,1,0.125
对流滚动,0,0,1,0,0,0,1,0.125
混沌运动,0,0,1,0,1,0,2,0.4875
方程,0,0,1,0,1,0,2,0.4875
经典力学,0,0,1,0,0,0,1,0.125
庞加莱几何法,0,0,1,0,0,0,1,0.125
moser,0,0,1,0,0,0,1,0.125
amofd,0,0,1,0,0,0,1,0.125
ov,0,0,1,0,0,0,1,0.125
birkhoff,0,0,1,0,0,0,1,0.125
激光,0,0,1,0,0,0,1,0.125
锁相环,0,0,1,0,0,0,1,0.125
雷达,0,0,1,0,0,0,1,0.125
无线电,0,0,1,0,0,0,1,0.125
长期预测,0,0,1,0,0,0,1,0.125
非周期性行为,0,0,1,0,0,0,1,0.125
确定性系统,0,0,1,0,0,0,1,0.125
天体力学,0,0,1,0,0,0,1,0.125
动力学学,0,0,1,0,0,0,1,0.125
太阳系,0,0,1,0,0,0,1,0.125
时刻,0,0,1,0,0,0,1,0.125
三体运动,0,0,1,0,0,0,1,0.125
数学,0,0,1,0,0,0,1,0.125
平方反比定律,0,0,1,0,0,0,1,0.125
引力,0,0,1,0,0,0,1,0.125
太阳,0,0,1,0,0,0,1,0.125
地球,0,0,1,0,0,0,1,0.125
开普勒定律,0,0,1,0,0,0,1,0.125
行星运动,0,0,1,0,0,0,1,0.125
万有引力,0,0,1,0,0,0,1,0.125
运动定律,0,0,1,0,0,0,1,0.125
交叉学科,0,0,1,0,0,0,1,0.125
能源,0,0,1,0,0,0,1,0.125
生物,0,0,1,0,0,0,1,0.125
航空航天,0,0,1,0,0,0,1,0.125
基础理论,0,0,1,0,0,0,1,0.125
koopman算符技术,0,0,2,0,0,0,2,0.25
自动控制,0,0,1,0,0,0,1,0.125
病变,0,0,1,0,0,0,1,0.125
计算资源,0,0,1,1,0,0,2,0.25
神经网络,0,0,1,0,0,0,1,0.125
控制,0,0,1,0,0,0,1,0.125
操作系统,0,0,1,0,0,0,1,0.125
数据分析技术,0,0,1,0,0,0,1,0.125
koopmam算符理论,0,0,1,0,0,0,1,0.125
近似,0,0,1,1,0,0,2,0.25
不变子空间,0,0,1,0,1,0,2,0.4875
时间成本,0,0,1,0,0,0,1,0.125
工程,0,0,1,0,0,0,1,0.125
不变结构,1,0,2,0,0,0,3,1.25
工具,0,0,1,0,0,0,1,0.125
非线性特征,1,0,1,0,0,0,2,1.125
本征,0,0,1,4,0,0,5,0.625
相空间结构,0,0,1,0,0,0,1,0.125
动力学方程,0,0,1,0,0,0,1,0.125
高维,0,0,1,1,0,0,2,0.25
复杂系统,2,0,1,0,0,0,3,2.125
定性分析,0,0,1,0,0,0,1,0.125
定量,0,0,1,0,0,0,1,0.125
高维复杂系统,0,0,1,0,0,0,1,0.125
动力系统理论,0,0,1,0,0,0,1,0.125
非线性耦合振子,0,0,3,0,1,0,4,0.7375
二自由度耦合振子,0,0,2,0,1,0,3,0.6125
三自由度耦合振子,0,0,1,0,2,0,3,0.85
幅值,1,0,1,0,10,1,13,5.1125
模式,1,0,1,0,0,0,2,1.125
kmd算法,0,0,1,0,0,0,1,0.125
koopman频谱,0,0,1,0,0,0,1,0.125
动力学模式,0,0,1,1,0,0,2,0.25
复杂动力学,0,0,0,1,0,0,1,0.125
注意力,0,0,0,1,0,0,1,0.125
系统动力学,0,0,0,2,1,0,3,0.6125
线性演化,0,0,0,1,0,0,1,0.125
非线性演化,0,0,0,1,0,0,1,0.125
相空间状态变量,0,0,0,1,0,0,1,0.125
映射,0,0,0,1,0,0,1,0.125
算符,0,0,0,3,0,0,3,0.375
函数空间口,0,0,0,1,0,0,1,0.125
本征坐标,0,0,0,2,0,0,2,0.25
乘法法则,0,0,0,1,0,0,1,0.125
离散时间系统,0,0,0,1,0,0,1,0.125
线性方程组,0,0,0,1,0,0,1,0.125
遍历成分,0,0,0,1,0,0,1,0.125
oopman算符,0,0,0,1,0,0,1,0.125
模值,0,0,0,3,1,0,4,0.7375
哈密顿循环理论,0,0,0,1,0,0,1,0.125
耦合非线性振子,0,0,0,1,0,0,1,0.125
上口乳,0,0,0,1,0,0,1,0.125
复平面,0,0,0,1,0,0,1,0.125
酉算子,0,0,0,1,0,0,1,0.125
遍历分量,0,0,0,1,0,0,1,0.125
不变测度,0,0,0,1,0,0,1,0.125
暂态动力学,0,0,0,1,0,0,1,0.125
衰减,0,0,0,1,0,0,1,0.125
koopmaii模式,0,0,0,1,0,0,1,0.125
谱投影,0,0,0,1,0,0,1,0.125
演化,0,0,0,1,1,0,2,0.4875
ko,0,0,0,1,0,0,1,0.125
迭代次数,0,0,0,1,0,0,1,0.125
截断级数,0,0,0,1,0,0,1,0.125
频率振动,0,0,0,1,0,0,1,0.125
m相空间,0,0,0,1,0,0,1,0.125
d维映射,0,0,0,1,0,0,1,0.125
本征向量,0,0,0,7,0,0,7,0.875
数据点,0,0,0,2,0,0,2,0.25
测量误差,0,0,0,1,0,0,1,0.125
噪声,0,0,0,1,0,0,1,0.125
ritz向量,0,0,0,1,0,0,1,0.125
ritz值,0,0,0,1,0,0,1,0.125
对角元素,0,0,0,1,0,0,1,0.125
对角线,0,0,0,2,0,0,2,0.25
对角矩阵,0,0,0,1,1,0,2,0.4875
范德蒙矩阵,0,0,0,1,0,0,1,0.125
矩阵对角化,0,0,0,1,3,0,4,1.2125
友阵,0,0,0,1,0,0,1,0.125
向量,0,0,0,2,0,0,2,0.25
krylov子空间,0,0,0,1,0,0,1,0.125
数据矩,0,0,0,1,0,0,1,0.125
线性近似,0,0,0,1,0,0,1,0.125
相空间轨道,0,0,0,1,0,0,1,0.125
线性矩阵,0,0,0,1,0,0,1,0.125
无限维算符,0,0,0,1,0,0,1,0.125
amoldi,0,0,0,1,0,0,1,0.125
连续时间序列数据,0,0,0,1,0,0,1,0.125
rnoldi算法,0,0,0,1,0,0,1,0.125
svd分解,0,0,0,5,0,0,5,0.625
特征向量,0,0,0,11,0,0,11,1.375
特征向量枢,0,0,0,2,0,0,2,0.25
特征,0,0,0,1,0,0,1,0.125
原始空间力,0,0,0,1,0,0,1,0.125
矩阵区,0,0,0,1,0,0,1,0.125
定义矩阵,0,0,0,2,0,0,2,0.25
时间结构,0,0,0,1,0,0,1,0.125
正交矩阵,0,0,0,2,0,0,2,0.25
快照,0,0,0,1,0,0,1,0.125
冗余,0,0,0,2,0,0,2,0.25
数据矩阵,0,0,0,9,0,0,9,1.125
dmd模式,0,0,0,12,0,0,12,1.5
抽样间隔,0,0,0,1,0,0,1,0.125
时间序列,0,0,0,5,3,0,8,1.7125
zke向量次,0,0,0,1,0,0,1,0.125
连续数据向量,0,0,0,1,0,0,1,0.125
数值稳定性,0,0,0,1,0,0,1,0.125
arnoldi算法,0,0,0,1,0,0,1,0.125
谱画,0,0,0,1,0,0,1,0.125
列空间,0,0,0,7,0,0,7,0.875
零空间,0,0,0,2,0,0,2,0.25
时间演化轨道,0,0,0,1,0,0,1,0.125
exactdmd模,0,0,0,1,0,0,1,0.125
左奇异向量,0,0,0,1,0,0,1,0.125
邮厂,0,0,0,1,0,0,1,0.125
原始空间,0,0,0,1,0,0,1,0.125
动力学分解,0,0,0,1,0,0,1,0.125
逆矩阵,0,0,0,1,0,0,1,0.125
定义算符,0,0,0,1,0,0,1,0.125
序列顺序,0,0,0,1,0,0,1,0.125
工加,0,0,0,1,0,0,1,0.125
当冲,0,0,0,1,0,0,1,0.125
qfl,0,0,0,1,0,0,1,0.125
数据向量,0,0,0,1,0,0,1,0.125
标准dmd算法,0,0,0,1,0,0,1,0.125
满秩,0,0,0,1,0,0,1,0.125
数学基础,0,0,0,1,0,0,1,0.125
koopman分析,0,0,0,1,0,0,1,0.125
exactdmd,0,0,0,1,0,0,1,0.125
投影dmd模式,0,0,0,1,0,0,1,0.125
pman,0,0,0,1,0,0,1,0.125
cjk,0,0,0,1,0,0,1,0.125
dmd特征值,0,0,0,1,0,0,1,0.125
分解,0,0,0,1,0,0,1,0.125
近似系统,0,0,0,1,0,0,1,0.125
观测量,0,0,0,1,0,0,1,0.125
算子,0,0,0,1,0,0,1,0.125
无穷维,0,0,0,1,0,0,1,0.125
模态分解,0,0,0,1,0,0,1,0.125
koopman谱分析,0,0,0,2,0,0,2,0.25
4dmd,0,0,0,1,0,0,1,0.125
amoldi算法,0,0,0,2,0,0,2,0.25
增长速率,1,0,0,1,0,0,2,1.125
4dmd算法,0,0,0,1,0,0,1,0.125
奇异值,0,0,0,6,0,0,6,0.75
bifurcation,0,0,0,1,0,0,1,0.125
延时嵌入法,0,0,0,1,0,0,1,0.125
哈密顿方程,0,0,0,1,1,0,2,0.4875
不用轨道,0,0,0,1,0,0,1,0.125
anrnj,0,0,0,1,0,0,1,0.125
ttfcian2,0,0,0,1,0,0,1,0.125
离散点,0,0,0,1,0,0,1,0.125
时俗刀,0,0,0,1,0,0,1,0.125
