,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
指纹分析算法,0,0,0,0,1,0,0,0,0,1,0.145
wlan,1,0,1,4,1,0,0,0,1,8,1.915
近邻算法,0,0,0,0,5,0,0,6,0,11,1.595
定位数据,0,0,0,1,2,0,0,0,0,3,0.415
室内定位,1,1,10,3,8,5,1,0,0,29,6.654999999999999
定位,0,0,7,30,3,0,0,4,0,44,5.64
位置坐标,0,0,0,1,1,0,0,0,0,2,0.27
距离误差,0,0,0,0,1,0,0,0,0,1,0.145
在线阶段,0,0,0,0,2,0,0,0,0,2,0.29
距离误差阈值,0,0,0,0,1,0,0,0,0,1,0.145
离线阶段,0,0,0,0,7,1,0,1,0,9,1.305
数据样本,0,0,1,0,3,1,1,0,0,6,0.85
训练数据集,0,0,0,0,5,1,2,0,0,8,1.16
初始化,0,0,0,0,4,1,0,0,0,5,0.725
argmaxxf,0,0,0,0,1,0,0,0,0,1,0.145
分类准则,0,0,0,0,1,0,0,0,0,1,0.145
距离矩阵,0,0,0,0,1,0,0,0,0,1,0.145
基本算法,0,0,0,0,1,0,0,0,0,1,0.145
k近邻算法,1,0,0,0,2,0,0,6,0,9,2.16
红外定位系统,1,0,1,8,0,0,0,0,0,10,2.125
卫星,0,0,0,8,0,0,0,0,0,8,1.0
红外接收装置,0,0,0,6,0,0,0,0,0,6,0.75
红外信号,0,0,1,6,0,0,0,0,0,7,0.875
手机,0,0,4,11,1,0,0,2,0,18,2.31
a-gps,0,0,0,5,0,0,0,0,0,5,0.625
室内定位系统,1,0,21,14,2,1,1,0,2,42,6.245
电缆,0,0,0,3,0,0,0,0,0,3,0.375
运营商,0,0,3,4,0,0,0,0,0,7,0.875
接收器,0,0,0,3,0,0,0,0,0,3,0.375
红外线,0,0,0,2,0,0,0,0,0,2,0.25
定位精度,2,0,7,8,1,0,0,24,1,43,7.645
中心服务器,0,0,0,3,0,0,0,0,0,3,0.375
红外接收器,0,0,0,2,0,0,0,0,0,2,0.25
红外发射器,0,0,0,2,0,0,0,0,0,2,0.25
activebadge,0,0,0,2,0,0,0,0,0,2,0.25
服务器,0,0,3,2,1,0,1,4,0,11,1.4949999999999999
伪距,0,0,0,2,0,0,0,0,0,2,0.25
gps,0,0,1,2,0,0,0,0,0,3,0.375
移动端,1,0,2,12,3,0,2,3,0,23,3.91
测量阶段,0,0,0,2,0,0,0,0,0,2,0.25
辅助服务器,0,0,0,2,0,0,0,0,0,2,0.25
建筑物,0,0,0,2,0,0,0,0,0,2,0.25
gps定位,1,0,0,2,0,0,0,0,0,3,1.25
时间差,0,0,0,3,0,0,0,0,0,3,0.375
卫星信号,0,0,0,3,0,0,0,0,0,3,0.375
位置,0,0,7,3,0,0,0,0,0,10,1.25
位置信息,1,0,9,9,0,0,0,0,0,19,3.25
gps卫星,0,0,0,3,0,0,0,0,0,3,0.375
时间,1,0,0,5,0,0,1,2,0,9,2.06
红外室内定位系统,0,0,0,1,0,0,0,0,0,1,0.125
人群,0,0,0,1,0,0,0,0,0,1,0.125
衣物,0,0,0,1,0,0,0,0,0,1,0.125
传播,0,0,0,1,0,0,0,0,0,1,0.125
等照射,0,0,0,1,0,0,0,0,0,1,0.125
日光,0,0,0,1,0,0,0,0,0,1,0.125
阳光,0,0,0,1,0,0,0,0,0,1,0.125
日光灯,0,0,0,1,0,0,0,0,0,1,0.125
红外装置,0,0,0,1,0,0,0,0,0,1,0.125
红外定位,0,0,0,1,0,0,0,0,0,1,0.125
室内环境,1,0,2,5,1,0,0,0,0,9,2.02
重量,0,0,0,1,0,0,0,0,0,1,0.125
尺寸,0,0,0,1,0,0,0,0,0,1,0.125
红外发射装置,0,0,0,1,0,0,0,0,0,1,0.125
中心系统,0,0,0,1,0,0,0,0,0,1,0.125
红外发射端,0,0,0,1,0,0,0,0,0,1,0.125
房间,0,0,0,1,0,0,0,0,0,1,0.125
标识符,0,0,0,1,0,0,0,0,0,1,0.125
接受器,0,0,0,1,0,0,0,0,0,1,0.125
发射器,0,0,0,1,0,0,0,0,0,1,0.125
红外信号接收器,0,0,0,1,0,0,0,0,0,1,0.125
漫反射红外技术,0,0,0,1,0,0,0,0,0,1,0.125
室内定位装置,0,0,0,1,0,0,0,0,0,1,0.125
&t,0,0,0,1,0,0,0,0,0,1,0.125
pda,0,0,0,1,0,0,0,0,0,1,0.125
打印机,0,0,0,1,0,0,0,0,0,1,0.125
电视,0,0,0,1,0,0,0,0,0,1,0.125
接收端,0,0,0,12,1,0,0,0,0,13,1.645
发送端,0,0,0,14,0,0,0,0,0,14,1.75
对定位,0,0,0,1,0,0,0,0,0,1,0.125
高温环境,0,0,0,1,0,0,0,0,0,1,0.125
接收信号,0,0,0,15,2,0,0,0,0,17,2.165
寿命,0,0,0,1,0,0,0,0,0,1,0.125
电池,0,0,0,1,0,0,0,0,0,1,0.125
gps服务,0,0,0,1,0,0,0,0,0,1,0.125
a-gps业务,0,0,0,1,0,0,0,0,0,1,0.125
空中资源,0,0,0,1,0,0,0,0,0,1,0.125
误差,0,0,0,1,2,0,0,0,0,3,0.415
定位服务,1,0,0,1,0,0,0,0,0,2,1.125
速度,0,0,0,1,0,0,0,0,0,1,0.125
模块,0,0,0,2,0,0,0,0,0,2,0.25
基站,0,0,0,8,0,0,0,0,0,8,1.0
移动用户,0,0,0,1,0,0,0,0,0,1,0.125
e-911服务,0,0,0,1,0,0,0,0,0,1,0.125
通信,0,0,0,4,0,0,0,0,0,4,0.5
gps信息,0,0,0,1,0,0,0,0,0,1,0.125
辅助信息,0,0,1,1,0,0,0,0,0,2,0.25
信息,0,0,4,1,0,0,4,1,0,10,1.35
手机解调gps定位信号,0,0,0,1,0,0,0,0,0,1,0.125
原始信号,0,0,0,1,0,0,0,0,0,1,0.125
日历数据,0,0,0,1,0,0,0,0,0,1,0.125
日历信息,0,0,0,1,0,0,0,0,0,1,0.125
日志数据,0,0,0,1,0,0,0,0,0,1,0.125
接入网络,0,0,0,1,0,0,0,0,0,1,0.125
地球卫星,0,0,0,1,0,0,0,0,0,1,0.125
移动服务,0,0,0,1,0,0,0,0,0,1,0.125
测量,0,0,0,1,0,0,0,0,0,1,0.125
计算阶段,0,0,0,1,0,0,0,0,0,1,0.125
定位流程,0,0,0,1,1,0,0,0,0,2,0.27
功率,0,0,0,2,0,0,0,0,0,2,0.25
gps卫星算法,0,0,0,1,0,0,0,0,0,1,0.125
蜂窝基站数据,0,0,0,1,0,0,0,0,0,1,0.125
a-gps定位系统,0,0,0,1,0,0,0,0,0,1,0.125
assistedgps,0,0,0,1,0,0,0,0,0,1,0.125
散射,0,0,0,1,0,0,0,0,0,1,0.125
衰减,0,0,0,2,0,0,0,0,0,2,0.25
墙壁,0,0,0,1,0,0,0,0,0,1,0.125
房屋,0,0,0,1,0,0,0,0,0,1,0.125
传播信号,0,0,0,1,0,1,0,0,0,2,0.27
人流,0,0,1,1,0,0,0,1,0,3,0.395
视距传播,0,0,0,3,0,0,0,0,0,3,0.375
信号传播路径,0,0,1,1,0,0,0,0,0,2,0.25
精度,2,0,1,4,1,0,0,5,0,13,3.495
gps定位卫星,0,0,0,1,0,0,0,0,0,1,0.125
gps芯片,0,0,0,1,0,0,0,0,0,1,0.125
移政端模块,0,0,0,1,0,0,0,0,0,1,0.125
gps模块,0,0,0,1,0,0,0,0,0,1,0.125
球面,0,0,0,1,0,0,0,0,0,1,0.125
算法,1,0,0,1,2,9,2,4,0,19,3.59
timeofarrival,0,0,0,2,0,0,0,0,0,2,0.25
toa,0,0,1,6,0,0,0,0,0,7,0.875
timeoffight,0,0,0,1,0,0,0,0,0,1,0.125
飞行时间,0,0,0,1,0,0,0,0,0,1,0.125
三边定位法,0,0,0,1,0,0,0,0,0,1,0.125
gps定位系统,0,0,1,1,0,0,0,0,0,2,0.25
定位算法,0,0,7,6,2,0,0,8,0,23,3.075
接收装置,0,0,0,1,0,0,0,0,0,1,0.125
gps接收器,0,0,0,1,0,0,0,0,0,1,0.125
时间戳,0,0,0,1,0,0,0,0,0,1,0.125
地面,0,0,0,1,0,0,0,0,0,1,0.125
原子时钟,0,0,0,1,0,0,0,0,0,1,0.125
地球轨道,0,0,0,1,0,0,0,0,0,1,0.125
globalpositioningsystem技术,0,0,0,1,0,0,0,0,0,1,0.125
卫星定位系统,0,0,0,2,0,0,0,0,0,2,0.25
1gps,0,0,0,1,0,0,0,0,0,1,0.125
强度,0,0,2,8,3,0,0,0,0,13,1.685
信号,0,0,3,27,2,0,1,5,0,38,4.91
接入点,0,0,4,4,8,1,0,0,0,17,2.3049999999999997
室内定位算法,0,0,2,5,3,1,0,6,0,17,2.325
强度分布,0,0,0,3,0,0,0,0,0,3,0.375
接收功率,0,0,0,2,0,0,0,0,0,2,0.25
基础设施建设,0,0,0,1,0,0,0,0,0,1,0.125
指纹识别,0,0,0,1,0,0,0,0,1,2,0.27
fingerprinting算法,0,0,0,1,0,0,0,0,0,1,0.125
基础硬件设施,0,0,0,1,0,0,0,0,0,1,0.125
多径传播,0,0,3,4,0,0,0,0,0,7,0.875
物体阻碍,0,0,0,1,0,0,0,0,0,1,0.125
人流干扰,0,0,0,1,0,0,0,0,0,1,0.125
非视距传播,0,0,1,3,0,0,0,0,0,4,0.5
信道特征,0,0,1,1,0,0,0,0,0,2,0.25
路损因子,0,0,0,1,0,0,0,0,0,1,0.125
发射功率,0,0,0,2,0,0,0,0,0,2,0.25
iop,0,0,0,1,0,0,0,0,0,1,0.125
无偏估计,0,0,0,1,0,0,0,0,0,1,0.125
发射,0,0,0,1,0,0,0,0,0,1,0.125
高斯随机变量,0,0,0,2,0,0,0,0,0,2,0.25
方差,0,0,0,1,1,0,3,0,0,5,0.705
均值,0,0,0,2,0,0,4,0,0,6,0.83
道路损耗系数,0,0,0,1,0,0,0,0,0,1,0.125
发送功率,0,0,0,1,0,0,0,0,0,1,0.125
发射端,0,0,0,4,0,0,0,0,0,4,0.5
dbm,0,0,0,1,0,0,0,0,0,1,0.125
机器学习,0,0,2,1,1,0,1,0,0,5,0.665
模式识别,0,0,3,1,0,0,1,0,0,5,0.645
路径损耗模型,0,0,0,1,0,0,0,0,0,1,0.125
三边测量,0,0,0,1,0,0,0,0,1,2,0.27
三角测量算法,0,0,0,1,0,0,0,0,0,1,0.125
位置指纹定位算法,0,0,0,1,0,0,0,0,0,1,0.125
qp,0,0,0,1,0,0,0,0,0,1,0.125
指纹图谱,0,0,0,1,0,0,0,0,0,1,0.125
指文图谱,0,0,0,1,0,0,0,0,0,1,0.125
采样点,0,0,0,1,0,0,0,1,0,2,0.27
强度值,0,0,0,1,1,0,0,0,0,2,0.27
波动范围,0,0,0,1,0,0,0,0,0,1,0.125
位置指纹法,2,0,2,1,2,1,0,0,0,8,2.81
强度波动,0,0,0,1,0,0,0,0,0,1,0.125
ap距离,0,0,0,1,0,0,0,0,0,1,0.125
ap3距离,0,0,0,1,0,0,0,0,0,1,0.125
ap2,0,0,0,1,0,0,0,0,0,1,0.125
als,0,0,0,1,0,0,0,0,0,1,0.125
定位测量算法,0,0,0,1,1,0,0,0,0,2,0.27
位置指纹算法,0,0,0,0,2,0,0,0,0,2,0.29
wifi室内定位系统,0,0,0,2,1,0,0,0,0,3,0.395
信号映射模型,0,0,0,0,1,0,0,0,0,1,0.145
rss,0,0,0,0,1,0,0,0,0,1,0.145
位置指纹,0,0,0,0,1,1,0,0,0,2,0.29
基尼不纯度,0,0,0,0,1,0,6,0,0,7,1.015
样本集合,0,0,0,0,1,0,2,0,0,3,0.43499999999999994
概率,0,0,0,0,1,0,5,1,0,7,1.015
样本分类,0,0,0,0,0,0,1,0,0,1,0.145
agmicd,0,0,0,0,0,0,1,0,0,1,0.145
特征选择过程,0,0,0,0,0,0,1,0,0,1,0.145
cart树,0,0,0,0,3,0,1,0,0,4,0.58
giniindex,0,0,0,0,0,0,1,0,0,1,0.145
giniimpurity,0,0,0,0,1,0,1,0,0,2,0.29
基尼指数特征提取算法,0,0,0,0,0,0,1,0,0,1,0.145
数据集,0,0,0,0,2,4,12,0,0,18,2.61
权重,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
移动端检测,0,0,0,0,0,1,0,0,0,1,0.145
预测,0,0,0,0,1,1,0,1,0,3,0.43499999999999994
错误率,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
决策树模型,1,0,0,0,1,7,0,0,0,9,2.16
弱分类模型,0,0,0,0,0,1,0,0,0,1,0.145
室内定位提升算法,0,0,0,0,0,8,0,0,0,8,1.16
指纹,0,0,0,1,0,0,0,0,0,1,0.125
模式,0,0,0,1,0,0,0,0,0,1,0.125
cellid定位法,0,0,0,1,0,0,0,0,0,1,0.125
射频识别定位算法,0,0,0,1,0,0,0,0,0,1,0.125
近场通信算法,0,0,0,1,0,0,0,0,0,1,0.125
aoa,0,0,1,5,0,0,0,0,0,6,0.75
三角定位法,0,0,0,2,0,0,0,0,0,2,0.25
tdoa,0,0,1,8,0,0,0,0,0,9,1.125
多边定位法,0,0,0,1,0,0,0,0,0,1,0.125
室内定位技术,2,0,4,3,0,0,0,0,0,9,2.875
节点,0,0,0,2,19,1,0,0,0,22,3.15
id3,0,0,0,0,6,0,0,0,0,6,0.8699999999999999
样本数据,0,0,0,0,7,1,0,1,0,9,1.305
特征值,0,0,0,0,2,0,0,2,0,4,0.58
信息增益值,0,0,0,0,2,0,2,0,0,4,0.58
rossquinlan,0,0,0,0,2,0,0,0,0,2,0.29
根节点,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
噪声,0,0,1,1,3,0,6,3,0,14,1.9899999999999998
数据量,0,0,0,0,1,0,1,1,0,3,0.43499999999999994
构件树模型,0,0,0,0,1,0,0,0,0,1,0.145
剪枝,0,0,0,0,6,0,0,0,0,6,0.8699999999999999
丢失,0,0,0,0,1,0,0,0,0,1,0.145
离散化,0,0,0,0,1,0,0,0,0,1,0.145
离散特征,0,0,0,0,1,0,0,0,0,1,0.145
连续特征,0,0,0,0,1,0,0,0,0,1,0.145
不等式阈值,0,0,0,0,1,0,0,0,0,1,0.145
infbrmation,0,0,0,0,1,0,0,0,0,1,0.145
igr,0,0,0,0,1,0,1,0,0,2,0.29
c4.5算法,0,0,0,0,1,0,0,0,0,1,0.145
冗余数据,0,0,0,0,1,0,0,0,0,1,0.145
抗噪声能力,0,0,0,0,1,0,0,0,0,1,0.145
数值点,0,0,0,0,1,0,0,0,0,1,0.145
频率,0,0,0,1,1,0,0,0,0,2,0.27
信息增益算法,0,0,0,0,1,0,2,0,0,3,0.43499999999999994
贪婪算法,0,0,0,0,2,0,0,0,0,2,0.29
构建算法,0,0,0,0,1,0,0,0,0,1,0.145
id3树,0,0,0,0,1,0,0,0,0,1,0.145
终止条件,0,0,0,0,1,0,0,0,0,1,0.145
孩子节点,0,0,0,0,1,0,0,0,0,1,0.145
集合,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
迭代,0,0,0,0,1,0,0,0,0,1,0.145
样本点,0,0,0,0,1,0,0,1,0,2,0.29
建树,0,0,0,0,1,0,0,0,0,1,0.145
id3算法,0,0,0,0,1,0,0,0,0,1,0.145
类别属性,0,0,0,0,1,0,0,0,0,1,0.145
路径,0,0,0,0,1,0,0,0,0,1,0.145
叶子节点,0,0,0,0,10,1,0,0,0,11,1.595
分支,0,0,0,0,4,0,0,0,0,4,0.58
非分类别属性,0,0,0,0,1,0,0,0,0,1,0.145
iginformationgain,0,0,0,0,1,0,0,0,0,1,0.145
id3树模型,0,0,0,0,1,0,0,0,0,1,0.145
核函数,0,0,0,0,7,0,0,5,0,12,1.7399999999999998
线性,0,0,0,0,10,0,3,0,0,13,1.8849999999999998
样本分布,0,0,0,0,6,1,1,0,0,8,1.16
向量机,0,0,0,0,11,1,0,3,0,15,2.175
非线性支持向量机,0,0,0,0,4,0,0,0,0,4,0.58
向量机算法,1,0,0,0,2,0,0,3,0,6,1.725
权值,0,0,0,0,4,8,0,1,0,13,1.8849999999999998
特征空间,0,0,0,0,4,0,0,0,0,4,0.58
支持,1,0,0,0,2,0,0,0,0,3,1.29
停止条件,0,0,0,0,2,2,0,0,0,4,0.58
朴素贝叶斯,0,0,0,0,1,0,0,1,0,2,0.29
近邻,0,0,0,0,1,0,0,0,0,1,0.145
复杂度,1,0,0,0,2,0,0,2,0,5,1.58
预测效率,0,0,0,0,1,0,0,12,0,13,1.8849999999999998
容错能力,1,0,2,0,1,0,0,2,0,6,1.685
鲁棒性,0,0,0,0,1,0,0,3,1,5,0.725
rbf,0,0,0,0,1,0,0,0,0,1,0.145
function,0,0,0,0,1,0,0,0,0,1,0.145
gaussianradialba,0,0,0,0,1,0,0,0,0,1,0.145
高斯核函数,0,0,0,0,1,0,0,0,0,1,0.145
线性支持向量机,0,0,0,0,1,0,0,1,0,2,0.29
指数,0,0,0,0,1,0,0,0,0,1,0.145
poly,0,0,0,0,1,0,0,0,0,1,0.145
polynomialkernelfunction,0,0,0,0,1,0,0,0,0,1,0.145
多项式核函数,0,0,0,0,1,0,0,0,0,1,0.145
定位模型,1,0,1,0,1,3,1,1,0,8,1.9949999999999999
if,0,0,0,0,2,0,0,0,0,2,0.29
定位误差率,0,0,0,0,1,0,0,0,0,1,0.145
代价函数,0,0,0,0,1,0,0,0,0,1,0.145
代价函数力,0,0,0,0,1,0,0,0,0,1,0.145
循环数,0,0,0,0,1,0,0,0,0,1,0.145
误差率,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
参数,0,0,0,0,2,1,0,4,0,7,1.015
和函数,0,0,0,0,1,0,0,0,0,1,0.145
勺印,0,0,0,0,1,0,0,0,0,1,0.145
目标函数,0,0,0,0,8,0,0,0,0,8,1.16
映射函数,0,0,0,0,1,0,0,0,0,1,0.145
kernelfunction,0,0,0,0,1,0,0,0,0,1,0.145
映商,0,0,0,0,1,0,0,0,0,1,0.145
高维空间,0,0,0,0,1,0,0,0,0,1,0.145
地位空间,0,0,0,0,1,0,0,0,0,1,0.145
高位空间,0,0,0,0,1,0,0,0,0,1,0.145
高纬度特征空间,0,0,0,0,1,0,0,0,0,1,0.145
非线性,0,0,0,0,2,0,1,0,0,3,0.43499999999999994
分布,0,0,0,0,1,0,2,1,0,4,0.58
脉冲信号,0,0,0,8,0,0,0,0,0,8,1.0
折射,0,0,0,2,0,0,0,0,0,2,0.25
时针同步,0,0,0,2,0,0,0,0,0,2,0.25
光速,0,0,0,2,0,0,0,0,0,2,0.25
传播时间,0,0,0,2,0,0,0,0,0,2,0.25
视距传播条件,0,0,0,1,0,0,0,0,0,1,0.125
同步,0,0,0,4,0,0,0,0,0,4,0.5
toa算法,0,0,0,3,0,0,0,0,0,3,0.375
toa三角定位法,0,0,0,1,0,0,0,0,0,1,0.125
衍射,0,0,1,2,0,0,0,0,0,3,0.375
主信号,0,0,0,1,0,0,0,0,0,1,0.125
峰值,0,0,0,1,0,0,0,0,0,1,0.125
预测距离,0,0,0,1,0,0,0,0,0,1,0.125
nlos,0,0,1,2,0,0,0,0,0,3,0.375
手机端,0,0,0,1,1,0,0,0,0,2,0.27
方波脉冲,0,0,0,1,0,0,0,0,0,1,0.125
toa算,0,0,0,1,0,0,0,0,0,1,0.125
下行链路,0,0,0,1,0,0,0,0,0,1,0.125
基站定位,0,0,0,1,0,0,0,0,0,1,0.125
差距,0,0,0,1,0,0,0,0,0,1,0.125
时针同步误差,0,0,0,1,0,0,0,0,0,1,0.125
射频信号,0,0,1,1,0,0,0,0,0,2,0.25
toa定位,0,0,0,1,0,0,0,0,0,1,0.125
传播速率,0,0,0,1,0,0,0,0,0,1,0.125
定位信号,0,0,1,1,0,0,0,0,0,2,0.25
速率,0,0,0,1,0,0,0,0,0,1,0.125
介质,0,0,0,1,0,0,0,0,0,1,0.125
toa三角测量法,0,0,0,1,0,0,0,0,0,1,0.125
定位系统,0,0,10,3,0,0,0,4,0,17,2.205
定位技术,0,0,2,0,0,0,0,0,0,2,0.25
遮挡,0,0,1,1,0,0,0,0,0,2,0.25
物体,0,0,2,0,0,0,0,0,0,2,0.25
反射,0,0,1,1,0,0,0,0,0,2,0.25
室内环境信道,0,0,1,0,0,0,0,0,0,1,0.125
用户数据,0,0,1,0,0,0,0,0,0,1,0.125
定位结果,0,0,1,0,0,1,0,0,0,2,0.27
硬件,0,0,1,3,0,0,0,0,0,4,0.5
室内定位成本,0,0,1,0,0,0,0,0,0,1,0.125
定位复杂度,0,0,1,0,0,0,0,0,0,1,0.125
定位时延,0,0,1,0,0,0,0,0,0,1,0.125
室内,0,0,1,2,0,0,0,2,1,6,0.8099999999999999
定位性能,0,0,1,1,0,0,0,0,0,2,0.25
服务提供商,0,0,1,0,0,0,0,0,0,1,0.125
lbs,1,0,1,0,0,0,0,0,0,2,1.125
rfid算法,0,0,1,0,0,0,0,0,0,1,0.125
id,0,0,1,0,0,0,0,0,0,1,0.125
身份验证,0,0,1,0,0,0,0,0,0,1,0.125
发送器,0,0,1,0,0,0,0,0,0,1,0.125
邻近分,0,0,1,0,0,0,0,0,0,1,0.125
neuralnetwork,0,0,1,0,0,1,0,0,0,2,0.27
nn,0,0,1,0,0,0,0,0,0,1,0.125
神经■网络,0,0,1,0,0,0,0,0,0,1,0.125
svm,0,0,1,0,0,0,0,2,0,3,0.415
k-nn,0,0,1,0,0,0,0,0,0,1,0.125
确定性算法,0,0,1,0,0,0,0,1,0,2,0.27
概率性算法,0,0,1,0,0,0,0,1,0,2,0.27
场景,0,0,2,0,0,0,0,0,0,2,0.25
室内外定位系统,0,0,1,0,0,0,0,0,0,1,0.125
三角测量法,0,0,5,0,0,0,0,0,0,5,0.625
无线热点,0,0,1,0,0,0,0,0,0,1,0.125
热点地图,0,0,1,0,0,0,0,0,0,1,0.125
位置服务,1,0,3,0,0,0,0,0,0,4,1.375
移动设备用户,0,0,1,0,0,0,0,0,0,1,0.125
移动运营商,0,0,1,0,0,0,0,0,0,1,0.125
-911,0,0,1,0,0,0,0,0,0,1,0.125
lcommunication,0,0,1,0,0,0,0,0,0,1,0.125
联邦通信,0,0,1,0,0,0,0,0,0,1,0.125
模型,2,0,3,0,4,1,1,9,1,21,4.695
实验数据,0,0,1,0,0,0,0,0,0,1,0.125
测试环境,0,0,1,0,0,0,0,0,0,1,0.125
实验环境,0,0,1,0,0,0,0,1,0,2,0.27
性能测试,0,0,1,0,0,0,0,0,0,1,0.125
定位方案,0,0,1,1,0,0,0,0,0,2,0.25
文本挖掘,0,0,1,0,0,0,0,0,0,1,0.125
文本数据,0,0,1,0,0,0,0,0,0,1,0.125
泛化能力,1,0,1,0,0,1,0,3,1,7,1.85
室内定位模型,0,0,1,0,0,1,0,0,0,2,0.27
样本数据维度,0,0,1,0,0,0,0,0,0,1,0.125
时延,0,0,1,0,0,0,0,0,0,1,0.125
实时定位,0,0,1,0,0,0,0,0,0,1,0.125
室-内定位方法,0,0,1,0,0,0,0,0,0,1,0.125
指纹测量技,0,0,1,0,0,0,0,0,0,1,0.125
wlan/wifi,0,0,2,1,0,0,0,0,0,3,0.375
wlan/wifi定位系统,0,0,1,0,0,0,0,0,0,1,0.125
蓝牙定位系统,1,0,1,2,0,0,0,0,0,4,1.375
传感器定位系统,0,0,1,0,0,0,0,0,0,1,0.125
gps卫星定位系统,1,0,1,1,0,0,0,0,0,3,1.25
正片论文,0,0,1,0,0,0,0,0,0,1,0.125
弱分类器,0,0,0,0,0,6,0,5,0,11,1.595
元启发式算法,0,0,0,0,0,2,0,0,0,2,0.29
定位错误率,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
训练样本,0,0,0,0,1,1,0,0,0,2,0.29
室内定位决策树算法,0,0,0,0,3,1,0,0,0,4,0.58
图像处理,0,0,0,0,0,2,0,1,0,3,0.43499999999999994
文本分类,0,0,0,0,0,1,0,0,0,1,0.145
机器学习算法,0,0,3,0,3,1,1,0,1,9,1.2449999999999999
boostingalgorithm,0,0,0,0,0,1,0,0,0,1,0.145
启发式算法,0,0,0,0,1,16,0,0,0,17,2.465
初始参数,0,0,0,0,0,1,0,0,0,1,0.145
训练时间,0,0,0,0,0,1,0,0,0,1,0.145
内存,0,0,0,0,0,1,0,0,0,1,0.145
计算,0,0,0,0,0,1,0,0,0,1,0.145
