,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
正切s型传递函数,0,0,0,0,0,0,1,0,0,1,0.145
reliif,0,0,0,0,0,0,1,0,0,1,0.145
输出层传递函数,0,0,0,0,0,0,1,0,0,1,0.145
线性传递函数,0,0,0,0,0,0,1,0,0,1,0.145
隐层传递函数,0,0,0,0,0,0,1,0,0,1,0.145
输出层神经元,0,0,0,0,0,0,1,0,0,1,0.145
隐层神经元,0,0,0,0,0,0,1,0,0,1,0.145
输入层神经元,0,0,0,0,0,0,1,0,0,1,0.145
三层网络结构,0,0,0,0,0,0,1,0,0,1,0.145
前馈网络,0,0,0,0,0,0,1,0,0,1,0.145
神经网络,0,0,0,0,0,0,4,0,0,4,0.58
hadoop集群,1,0,4,33,8,2,0,0,1,49,7.22
集群,0,0,6,26,22,3,0,0,1,58,7.77
作业程序,0,0,0,3,0,0,0,0,0,3,0.375
基准测试套件,0,0,0,4,1,2,0,0,0,7,0.9349999999999999
作业,0,0,2,5,0,0,0,0,0,7,0.875
hadoop,0,0,2,10,2,1,0,0,0,15,1.935
hibench,0,0,0,2,1,2,0,0,0,5,0.6849999999999999
大数据处理,0,0,2,2,0,0,0,0,0,4,0.5
性能评估,0,1,1,4,4,0,0,2,0,12,3.495
数据接入模式,0,0,0,1,0,0,0,0,0,1,0.125
系统资源利用率,0,0,0,1,0,0,0,0,0,1,0.125
hdfs带宽,0,0,0,1,0,0,0,0,0,1,0.125
作业吞吐量,0,0,0,1,0,0,0,0,0,1,0.125
作业运行时间,0,0,0,1,0,0,0,0,0,1,0.125
基准测试程序,0,0,0,1,0,0,0,0,0,1,0.125
机器学习,0,0,0,1,0,0,0,0,0,1,0.125
网页搜索,0,0,0,1,1,0,0,0,0,2,0.27
现实应用程序,0,0,0,1,0,0,0,0,0,1,0.125
terasort,0,0,0,2,3,5,3,3,0,16,2.28
微基准作业程序,0,0,0,1,0,0,0,0,0,1,0.125
集群节点,0,0,0,2,0,0,0,0,0,2,0.25
数据量,0,0,1,1,0,0,0,0,0,2,0.25
大数据处理性能,0,0,0,1,0,0,0,0,0,1,0.125
高速集群链路,0,0,0,1,0,0,0,0,0,1,0.125
带宽,0,0,0,3,1,0,0,0,0,4,0.52
网络通信,0,0,0,3,0,0,0,0,0,3,0.375
hadoop集群性能,0,0,0,3,0,0,0,0,0,3,0.375
集群节点数,0,0,0,1,0,0,0,0,0,1,0.125
数据量规模,0,0,0,1,0,0,0,0,0,1,0.125
网络带宽,0,0,0,1,0,1,0,0,0,2,0.27
索引,0,0,0,1,0,0,0,0,0,1,0.125
倒排索引,0,0,0,1,0,0,0,0,0,1,0.125
大数据,0,0,4,3,0,0,0,0,0,7,0.875
mapreduce编程,0,0,0,1,0,0,0,0,0,1,0.125
集群性能,0,0,0,5,6,2,0,1,0,14,1.93
性能优化,1,0,4,5,6,0,2,9,0,27,4.59
性能优,0,0,0,0,1,0,0,1,0,2,0.29
线性建模,0,0,0,0,0,0,3,1,0,4,0.58
运行时间,1,0,0,1,5,7,8,16,1,39,6.489999999999999
性能指标,0,0,0,0,0,1,1,2,0,4,0.58
内部关系,0,0,0,0,0,0,0,1,0,1,0.145
非线性模型,0,0,0,0,0,0,0,1,0,1,0.145
网络,1,0,3,3,2,3,4,0,1,17,3.2
期望误差值,0,0,0,0,0,0,2,0,0,2,0.29
初始权值,0,0,0,0,0,0,2,0,0,2,0.29
隐含层神经元,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
单层网络,0,0,0,0,0,0,2,0,0,2,0.29
精度,0,0,0,0,0,0,2,0,0,2,0.29
层数,0,0,0,0,0,0,2,0,0,2,0.29
网络层数,0,0,0,0,0,0,2,0,0,2,0.29
隐含层节点,0,0,0,0,0,0,1,0,0,1,0.145
期望误差,0,0,0,0,0,0,1,0,0,1,0.145
自适应学习速率,0,0,0,0,0,0,1,0,0,1,0.145
误差曲面,0,0,0,0,0,0,1,0,0,1,0.145
收敛,0,0,0,0,0,0,1,0,0,1,0.145
系统,1,0,4,3,7,2,3,5,1,26,4.484999999999999
随机数,0,0,0,0,0,0,1,0,0,1,0.145
误差下降速度,0,0,0,0,0,0,1,0,0,1,0.145
个数,0,0,0,0,0,0,1,0,0,1,0.145
迭代,0,0,0,0,0,0,1,0,0,1,0.145
神经元数,0,0,0,0,0,0,1,0,0,1,0.145
训练网络,0,0,0,0,0,0,1,0,0,1,0.145
网络训练,0,0,0,0,0,0,2,0,0,2,0.29
单层精度,0,0,0,0,0,0,1,0,0,1,0.145
非线性函数,0,0,0,0,0,0,1,0,0,1,0.145
自适应线性网络,0,0,0,0,0,0,1,0,0,1,0.145
非线性激活函数,0,0,0,0,0,0,1,0,0,1,0.145
复杂化,0,0,0,0,0,0,1,0,0,1,0.145
有理函数,0,0,0,0,0,0,1,0,0,1,0.145
线性输岀层,0,0,0,0,0,0,1,0,0,1,0.145
s型隐层,0,0,0,0,0,0,1,0,0,1,0.145
偏差,0,0,0,0,0,0,1,0,0,1,0.145
参数,0,0,0,31,4,0,4,6,0,45,5.904999999999999
scheduler,0,0,0,6,0,0,0,0,0,6,0.75
allocation,0,0,0,4,0,0,0,0,0,4,0.5
nodemanager,0,0,0,6,1,0,0,0,0,7,0.895
resourcemanager,0,0,0,8,3,1,0,0,0,12,1.58
默认值,0,0,0,4,0,0,0,0,0,4,0.5
datanode,0,0,0,13,1,0,0,0,0,14,1.77
hdfs,0,0,1,17,3,12,3,1,0,37,5.005
namenode,0,0,0,17,1,0,0,0,0,18,2.27
基本参数,0,0,0,3,0,0,0,0,0,3,0.375
xml,0,0,0,2,0,0,0,0,0,2,0.25
虚拟cpu,0,0,0,2,0,0,0,0,0,2,0.25
vcore,0,0,0,2,0,0,0,0,0,2,0.25
container,0,0,0,5,0,0,0,0,0,5,0.625
maximum,0,0,0,2,0,0,0,1,0,3,0.395
minimum,0,0,0,2,0,0,0,0,0,2,0.25
capacity,0,0,0,2,0,0,0,0,0,2,0.25
nm,0,0,0,2,0,0,0,0,0,2,0.25
yarn,0,0,1,3,0,0,0,0,0,4,0.5
rpc请求,0,0,0,2,0,0,0,0,0,2,0.25
服务线程数,0,0,0,2,0,0,0,0,0,2,0.25
fs,0,0,0,2,0,0,0,0,0,2,0.25
数据块,0,0,0,12,0,0,0,0,0,12,1.5
本地文件系统,0,0,0,3,0,0,0,0,0,3,0.375
site,0,0,0,2,0,0,0,0,0,2,0.25
配置文件,0,0,0,1,0,0,0,0,0,1,0.125
https-site,0,0,0,1,0,0,0,0,0,1,0.125
mapred-site,0,0,0,1,0,0,0,0,0,1,0.125
日志,0,0,0,1,0,0,0,0,0,1,0.125
ore,0,0,0,1,0,0,0,0,0,1,0.125
物理内存容量,0,0,0,1,0,0,0,0,0,1,0.125
sour,0,0,0,1,0,0,0,0,0,1,0.125
内存资源量,0,0,0,1,0,0,0,0,0,1,0.125
进程数,0,0,0,1,0,0,0,0,0,1,0.125
e-tracker,0,0,0,1,0,0,0,0,0,1,0.125
fairschedule,0,0,0,1,0,0,0,0,0,1,0.125
capacityschedule,0,0,0,1,0,0,0,0,0,1,0.125
fifo,0,0,0,2,0,0,0,0,0,2,0.25
作业调度器,0,0,0,1,0,0,0,0,0,1,0.125
eduler,0,0,0,1,0,0,0,0,0,1,0.125
yarn-site,0,0,0,1,0,0,0,0,0,1,0.125
文件数量,0,0,0,1,0,0,0,0,0,1,0.125
fe,0,0,0,1,0,0,0,0,0,1,0.125
处理业务,0,0,0,1,0,0,0,0,0,1,0.125
接收请求,0,0,0,1,0,0,0,0,0,1,0.125
de,0,0,0,1,0,0,0,0,0,1,0.125
心跳间隔,0,0,0,1,0,0,0,0,0,1,0.125
heartbeat,0,0,0,1,0,0,0,0,0,1,0.125
副本数,0,0,0,1,0,0,0,0,0,1,0.125
block,0,0,0,1,0,0,0,0,0,1,0.125
hdfs-site,0,0,0,1,0,0,0,0,0,1,0.125
垃圾站,0,0,0,1,0,0,0,0,0,1,0.125
垃圾回收时间,0,0,0,1,0,0,0,0,0,1,0.125
分钟,0,0,0,1,0,0,0,0,0,1,0.125
闲置,0,0,0,1,0,0,0,0,0,1,0.125
hadoopclient,0,0,0,1,0,0,0,0,0,1,0.125
ipc,0,0,0,1,0,0,0,0,0,1,0.125
内存page,0,0,0,1,0,0,0,0,0,1,0.125
缓存大小,0,0,0,1,0,0,0,0,0,1,0.125
文件,0,0,0,8,0,3,0,0,0,11,1.435
临时目录,0,0,0,1,0,0,0,0,0,1,0.125
hostname,0,0,0,1,0,0,0,0,0,1,0.125
集群模,0,0,0,1,0,0,0,0,0,1,0.125
name,0,0,0,1,0,0,0,0,0,1,0.125
核心属性文件,0,0,0,1,0,0,0,0,0,1,0.125
参数配置文件,0,0,0,1,0,0,0,0,0,1,0.125
硬件设备,0,0,1,9,0,0,0,1,0,11,1.395
吞吐率,0,0,0,1,0,0,0,0,0,1,0.125
运行效率,0,0,0,1,0,1,0,0,0,2,0.27
集群作业,0,0,0,1,0,0,0,0,0,1,0.125
参数配置,0,0,2,2,0,0,0,0,0,4,0.5
工作效率,1,0,1,1,1,0,0,0,1,5,1.54
hadoop参数,0,0,0,2,0,0,0,0,0,2,0.25
用程序,0,0,0,0,1,0,1,3,0,5,0.725
多元线性回归误差,0,0,0,0,0,0,0,1,0,1,0.145
预测时间,0,0,0,0,0,0,0,4,0,4,0.58
时间线性,0,0,0,0,0,0,0,1,0,1,0.145
分数,0,0,0,0,0,0,0,8,0,8,1.16
直线,0,0,0,0,0,0,0,1,0,1,0.145
蓝色折线,0,0,0,0,0,0,0,1,0,1,0.145
多元回归分析,0,0,0,0,0,0,0,1,0,1,0.145
红色折线,0,0,0,0,0,0,0,1,0,1,0.145
线性回归方程,0,0,0,0,0,0,1,1,0,2,0.29
数据块信息,0,0,0,2,0,0,0,0,0,2,0.25
数据,1,0,5,10,1,16,5,0,0,38,6.0649999999999995
节点,0,0,0,5,3,5,0,0,0,13,1.785
文件系统,0,0,0,3,0,0,0,0,0,3,0.375
备份数,0,0,0,2,0,0,0,0,0,2,0.25
心跳报文,0,0,0,1,0,0,0,0,0,1,0.125
读写请求,0,0,0,1,0,0,0,0,0,1,0.125
hdfs客户机,0,0,0,1,0,0,0,0,0,1,0.125
索数据,0,0,0,1,0,0,0,0,0,1,0.125
从服务器,0,0,0,1,0,0,0,0,0,1,0.125
单点故障,0,0,0,1,0,0,0,0,0,1,0.125
namenode机制,0,0,0,1,0,0,0,0,0,1,0.125
服务器,0,0,0,22,5,17,4,3,0,51,6.955
记录文件,0,0,0,1,0,0,0,0,0,1,0.125
事务,0,0,0,1,0,0,0,0,0,1,0.125
editlog,0,0,0,1,0,0,0,0,0,1,0.125
名称空间,0,0,0,1,0,0,0,0,0,1,0.125
fslmage,0,0,0,1,0,0,0,0,0,1,0.125
hdfs文件系统,0,0,0,1,0,0,0,0,0,1,0.125
node,0,0,0,1,0,0,0,0,0,1,0.125
nodeo,0,0,0,1,0,0,0,0,0,1,0.125
元数据,0,0,0,2,0,0,0,0,0,2,0.25
datanodeonamenode,0,0,0,1,0,0,0,0,0,1,0.125
响应,0,0,0,1,0,0,0,0,0,1,0.125
ip地址,0,0,0,1,0,1,0,0,0,2,0.27
外部客户机,0,0,0,1,0,0,0,0,0,1,0.125
访问,0,0,0,1,0,0,0,0,0,1,0.125
客户端,0,0,0,1,0,0,0,0,0,1,0.125
命名空间,0,0,0,1,0,0,0,0,0,1,0.125
主服务器,0,0,0,1,0,0,0,0,0,1,0.125
tcp/ip协议,0,0,0,2,0,0,0,0,0,2,0.25
通信,0,0,0,2,0,0,0,0,0,2,0.25
hdfs集群,0,0,0,1,0,0,0,0,0,1,0.125
结构模型,0,0,0,1,0,0,0,0,0,1,0.125
slave,0,0,0,1,0,0,0,0,0,1,0.125
master/,0,0,0,1,0,0,0,0,0,1,0.125
主从,0,0,0,1,0,0,0,0,0,1,0.125
功能节点,0,0,0,1,0,0,0,0,0,1,0.125
hdfs系统,0,0,0,1,0,0,0,0,0,1,0.125
unix文件接口,0,0,0,1,0,0,0,0,0,1,0.125
文件操作接口,0,0,0,1,0,0,0,0,0,1,0.125
分级文件系统,0,0,0,1,0,0,0,0,0,1,0.125
存储节点,0,0,0,1,0,0,0,0,0,1,0.125
distributedfilesystem,0,0,0,1,0,0,0,0,0,1,0.125
性能分析,0,0,0,0,4,0,0,1,1,6,0.8699999999999999
大规模流量分析系统,1,0,3,0,5,1,0,1,1,12,2.535
回归因子,0,0,0,0,0,0,0,1,0,1,0.145
分数评定,0,0,0,0,0,0,0,1,0,1,0.145
平均数,0,0,0,0,0,0,0,1,0,1,0.145
预测时间线性,0,0,0,0,0,0,0,1,0,1,0.145
行时间,0,0,0,0,0,0,1,1,0,2,0.29
标准,0,0,0,0,0,2,1,1,0,4,0.58
百分制,0,0,0,0,0,0,0,1,0,1,0.145
内存,0,0,1,8,0,5,0,0,0,14,1.85
循环嵌套,0,0,0,1,0,0,0,0,0,1,0.125
内部算法,0,0,0,1,0,0,0,0,0,1,0.125
计算作业程序,0,0,0,1,0,0,0,0,0,1,0.125
监控功能,0,0,0,1,0,0,0,0,0,1,0.125
cpu利用率,0,0,0,0,0,0,7,7,0,14,2.03
磁盘,0,0,0,2,0,0,7,8,0,17,2.425
内存利用率,0,0,0,0,0,0,6,8,0,14,2.03
共线性,0,0,0,0,0,0,4,0,0,4,0.58
负载,0,0,2,0,0,5,4,2,0,13,1.845
概率,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
i/o平均值,0,0,0,0,0,0,3,1,0,4,0.58
i/o,0,0,0,0,0,0,3,3,0,6,0.8699999999999999
共线性统计,0,0,0,0,0,0,2,0,0,2,0.29
显著性,0,0,0,0,0,0,2,0,0,2,0.29
残差,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
伪回归,0,0,0,0,0,0,2,0,0,2,0.29
序列,0,0,0,0,0,0,2,0,0,2,0.29
德宾-沃森系数,0,0,0,0,0,0,2,0,0,2,0.29
相关系数,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
多元线性回归分析,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
上传速率,0,0,0,0,0,4,2,1,0,7,1.015
内存利用率标准差,0,0,0,0,0,0,1,0,0,1,0.145
磁盘i/o标准差,0,0,0,0,0,0,2,0,0,2,0.29
i/o平均,0,0,0,0,0,0,1,2,0,3,0.43499999999999994
回归分,0,0,0,0,0,0,1,0,0,1,0.145
vif,0,0,0,0,0,0,1,0,0,1,0.145
矩阵运算,0,0,0,0,0,0,1,0,0,1,0.145
方差膨胀因子,0,0,0,0,0,0,1,0,0,1,0.145
显著性水平,0,0,0,0,0,0,1,0,0,1,0.145
常量,0,0,0,0,0,0,1,0,0,1,0.145
容忍度,0,0,0,0,0,0,1,0,0,1,0.145
标准化系数,0,0,0,0,0,0,1,0,0,1,0.145
未标准化系数,0,0,0,0,0,0,1,0,0,1,0.145
统计量,0,0,0,0,0,0,1,0,0,1,0.145
平方,0,0,0,0,0,0,1,0,0,1,0.145
方差,0,0,0,0,0,1,1,0,0,2,0.29
多元线性回归分,0,0,0,0,0,0,1,0,0,1,0.145
自由度,0,0,0,0,0,0,1,0,0,1,0.145
模型平方,0,0,0,0,0,0,1,0,0,1,0.145
回归分析,0,0,0,0,0,0,4,0,0,4,0.58
拟合,0,0,0,0,0,0,1,0,0,1,0.145
系数,0,0,0,0,0,0,1,0,0,1,0.145
r2,0,0,0,0,0,0,1,0,0,1,0.145
变量,0,0,0,0,0,0,1,0,0,1,0.145
线性回归,0,0,0,0,0,0,5,0,0,5,0.725
判定系数,0,0,0,0,0,0,1,0,0,1,0.145
德宾-沃森,0,0,0,0,0,0,1,0,0,1,0.145
过滤,0,0,0,0,0,0,2,0,0,2,0.29
标准运行时间,0,0,0,0,6,0,2,0,0,8,1.16
性能数,0,0,0,0,0,4,6,0,0,10,1.45
预测误差,0,0,0,0,0,0,4,0,3,7,1.015
最小二乘法,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
时间段,0,0,0,0,0,0,2,0,0,2,0.29
分布式系统,0,0,0,2,0,0,0,0,0,2,0.25
存储,0,0,0,1,0,1,0,0,0,2,0.27
hadoop2,0,0,0,1,0,0,0,0,0,1,0.125
数据存储,0,0,0,5,1,0,0,0,0,6,0.77
高速计算,0,0,0,1,0,0,0,0,0,1,0.125
分布式集群,0,0,0,9,0,0,0,0,0,9,1.125
分布式程序,0,0,0,1,0,0,0,0,0,1,0.125
处理框架,0,0,0,1,0,0,0,0,0,1,0.125
分布式数据存储,0,0,0,1,0,0,0,0,0,1,0.125
mapreduce,0,0,2,5,1,0,0,0,0,8,1.02
gfs,0,0,0,1,0,0,0,0,0,1,0.125
软件,0,0,1,3,1,0,0,0,0,5,0.645
基础架构,0,0,0,1,0,0,0,0,0,1,0.125
性能数据采集系统,0,0,1,0,1,2,0,0,0,4,0.5599999999999999
flume,0,0,1,0,1,4,0,0,0,6,0.85
集性能数据,0,0,0,0,0,1,0,0,0,1,0.145
非线性建模,0,0,0,0,0,0,2,0,0,2,0.29
数据建模,0,0,0,0,0,0,1,0,0,1,0.145
pearson,0,0,0,0,0,0,4,0,0,4,0.58
pe,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
cpu,0,0,0,2,0,3,3,0,0,8,1.1199999999999999
pearson相关系数,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
自变量评估标准,0,0,0,0,0,0,2,0,0,2,0.29
磁盘i/o指标,0,0,0,0,0,0,1,0,0,1,0.145
wordcount标准程序,0,0,0,0,0,0,1,0,0,1,0.145
显著性系数,0,0,0,0,0,0,1,0,0,1,0.145
son,0,0,0,0,0,0,1,0,0,1,0.145
能数据服务器,0,0,0,0,0,0,1,0,0,1,0.145
负载性,0,0,0,0,0,0,1,0,0,1,0.145
磁盘性能数,0,0,0,0,0,0,1,0,0,1,0.145
内存性能数,0,0,0,0,0,0,1,0,0,1,0.145
标准差,0,0,0,0,0,2,1,1,1,5,0.725
平均,0,0,0,0,0,0,1,0,0,1,0.145
利用率,0,0,0,0,0,0,2,0,0,2,0.29
质量,0,0,0,0,0,0,1,0,0,1,0.145
训练数据,0,0,0,0,0,0,1,0,0,1,0.145
干扰,0,0,0,0,0,0,1,0,0,1,0.145
训练,0,0,0,0,0,0,1,0,0,1,0.145
建模训,0,0,0,0,0,0,1,0,0,1,0.145
参数调优,0,0,0,7,5,0,0,5,0,17,2.325
系统管理,0,0,0,0,1,0,0,0,0,1,0.145
分析评估,0,0,0,0,1,0,0,0,0,1,0.145
mapreduce作,0,0,0,0,1,0,0,0,0,1,0.145
作业优,0,0,0,0,1,0,0,0,0,1,0.145
调优,0,0,0,1,1,0,0,0,0,2,0.27
集群特性,0,0,0,0,1,0,0,0,0,1,0.145
拓扑关系,0,0,0,0,1,0,0,0,0,1,0.145
硬件配置,0,0,0,1,2,1,0,0,0,4,0.5599999999999999
优化,0,0,0,1,1,0,0,1,0,3,0.415
状态分析,0,0,0,0,1,0,0,0,0,1,0.145
基础数据分析,0,0,0,0,1,1,0,0,0,2,0.29
英特尔,0,0,0,0,1,1,0,0,0,2,0.29
数据分析,0,0,2,0,3,0,0,0,0,5,0.6849999999999999
离线分析,0,0,0,0,1,0,0,0,0,1,0.145
集系统,0,0,0,0,0,1,0,0,0,1,0.145
积累分析系统,0,0,0,0,0,1,0,0,0,1,0.145
性能分析评估,0,0,0,0,1,1,0,0,0,2,0.29
阈值参数,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
阈值,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
导数,0,0,0,0,0,0,2,0,0,2,0.29
权值,0,0,0,0,0,0,2,0,0,2,0.29
阈值变化量,0,0,0,0,0,0,2,0,0,2,0.29
误差准则函数,0,0,0,0,0,0,2,0,0,2,0.29
线性函数,0,0,0,0,0,0,2,0,0,2,0.29
隐含层激励函数,0,0,0,0,0,0,2,0,0,2,0.29
初始化,0,0,0,0,0,0,2,0,0,2,0.29
隐含层权,0,0,0,0,0,0,1,0,0,1,0.145
输出层权,0,0,0,0,0,0,1,0,0,1,0.145
迭代时,0,0,0,0,0,0,1,0,0,1,0.145
权、阈值,0,0,0,0,0,0,1,0,0,1,0.145
隐含层权值,0,0,0,0,0,0,1,0,0,1,0.145
出层激励函数,0,0,0,0,0,0,1,0,0,1,0.145
勺式,0,0,0,0,0,0,1,0,0,1,0.145
仰邑,0,0,0,0,0,0,1,0,0,1,0.145
误差反向传播算法,0,0,0,0,0,0,1,0,0,1,0.145
层权值,0,0,0,0,0,0,1,0,0,1,0.145
误差反向传播过程,0,0,0,0,0,0,1,0,0,1,0.145
反向传播过程,0,0,0,0,0,0,1,0,0,1,0.145
判别误差,0,0,0,0,0,0,1,0,0,1,0.145
误差函数,0,0,0,0,0,0,1,0,0,1,0.145
正向传播过程,0,0,0,0,0,0,1,0,0,1,0.145
输出层激励函数,0,0,0,0,0,0,1,0,0,1,0.145
随机非零值,0,0,0,0,0,0,1,0,0,1,0.145
反向传播,0,0,0,0,0,0,1,0,0,1,0.145
正向传播,0,0,0,0,0,0,1,0,0,1,0.145
信号,0,0,0,0,0,0,1,0,0,1,0.145
2bp算法,0,0,0,0,0,0,1,0,0,1,0.145
效率,0,0,0,2,0,0,0,1,0,3,0.395
体验,0,0,0,1,0,0,0,0,0,1,0.125
分布式文件系统,0,0,2,0,0,0,0,0,0,2,0.25
大数据时代,1,0,2,0,0,0,0,0,1,4,1.395
可靠性,0,0,1,0,0,0,0,0,0,1,0.125
it设备,0,0,1,0,0,0,0,0,0,1,0.125
分布式计算框架,0,0,1,0,0,0,0,0,0,1,0.125
分布式计算平台,0,0,1,0,0,0,0,0,0,1,0.125
