,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
查魂结,0,0,0,1,0,0,0,0,0,1,0.125
查询引擎,0,0,0,1,0,0,0,0,0,1,0.125
sparql协议,0,0,0,1,0,0,0,0,0,1,0.125
sparql查询语句,0,0,0,1,0,0,0,1,0,2,0.27
值约束条件,0,0,0,1,0,0,0,0,0,1,0.125
rdf数据集图模式,0,0,0,1,0,0,0,0,0,1,0.125
联合图模式,0,0,0,1,0,0,0,0,0,1,0.125
选择图模式,0,0,0,1,0,0,0,0,0,1,0.125
组合图模式,0,0,0,1,0,0,0,0,0,1,0.125
基本图模式,0,0,0,1,0,0,0,0,0,1,0.125
简单图模式,0,0,0,1,0,0,0,0,0,1,0.125
三元组模式,0,0,0,1,0,0,0,0,0,1,0.125
图模式,0,0,0,1,0,0,0,0,0,1,0.125
客体,0,0,0,1,0,0,0,0,0,1,0.125
cat,0,0,0,1,0,0,0,0,0,1,0.125
pre,0,0,0,1,0,0,0,0,0,1,0.125
谓词,0,0,0,1,0,0,0,0,0,1,0.125
主体,0,0,0,1,0,0,0,0,0,1,0.125
属性,0,0,3,6,1,3,2,0,0,15,1.9949999999999999
rdf模型,0,0,0,1,0,0,0,0,0,1,0.125
datatypeirlblanknode,0,0,0,1,0,0,0,0,0,1,0.125
typedliteral,0,0,0,1,0,0,0,0,0,1,0.125
languagetag,0,0,0,1,0,0,0,0,0,1,0.125
plainliterals,0,0,0,1,0,0,0,0,0,1,0.125
lexicalfornix,0,0,0,1,0,0,0,0,0,1,0.125
irkliterals,0,0,0,1,0,0,0,0,0,1,0.125
triple三元组,0,0,0,1,0,0,0,0,0,1,0.125
数据图,0,0,0,1,0,0,0,0,0,1,0.125
rdf,0,0,0,10,0,0,0,0,0,10,1.25
serql,0,0,0,1,0,0,0,0,0,1,0.125
rdql,0,0,0,1,0,0,0,0,0,1,0.125
rdfdb,0,0,0,1,0,0,0,0,0,1,0.125
rdf图,0,0,0,1,0,0,0,0,0,1,0.125
rdfstore,0,0,0,1,0,0,0,0,0,1,0.125
rdf存储,0,0,0,1,0,0,0,0,0,1,0.125
语义网标准协议,0,0,0,1,0,0,0,0,0,1,0.125
物联网系统,5,0,6,1,4,0,1,0,0,17,6.6
知识子系统,4,0,5,2,8,3,2,2,6,32,7.92
需求,0,0,0,0,2,0,0,0,0,2,0.29
非功能性需求,0,0,0,0,2,0,0,0,0,2,0.29
功能性需求,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
功能模块,0,0,0,0,1,1,0,1,0,3,0.43499999999999994
事件处理能力,0,0,0,0,1,0,0,0,0,1,0.145
订阅子系统,0,0,0,0,1,1,0,0,0,2,0.29
资源模型,2,0,6,1,4,3,0,0,0,16,3.8899999999999997
物联网,4,1,10,2,7,4,0,0,3,31,9.53
系统需求,0,0,0,0,1,0,0,0,0,1,0.145
主题,0,0,2,0,2,9,8,0,0,21,3.005
订阅系统,1,0,0,1,6,6,5,0,0,19,3.59
paramtopic,0,0,0,0,0,0,2,0,0,2,0.29
getschema,0,0,0,0,0,0,2,0,0,2,0.29
schema文件,0,0,0,0,0,0,4,0,0,4,0.58
主题树,0,0,0,1,1,2,2,0,0,6,0.85
pubsub,0,0,0,0,0,0,4,0,0,4,0.58
topicentry,0,0,0,0,0,0,2,0,0,2,0.29
configuration,0,0,0,0,0,0,2,0,0,2,0.29
pubsub类,0,0,0,0,0,0,2,0,0,2,0.29
消息,0,0,0,10,6,0,2,0,0,18,2.41
数据订阅模块,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
nt,0,0,0,0,0,1,2,0,0,3,0.43499999999999994
topic,0,0,0,1,0,0,2,0,0,3,0.415
string,0,0,0,0,0,0,1,0,0,1,0.145
topicentysubscribe,0,0,0,0,0,0,1,0,0,1,0.145
protected,0,0,0,0,0,0,1,0,0,1,0.145
subscribe,0,0,0,0,0,0,1,0,0,1,0.145
文件对象,0,0,0,0,0,0,1,0,0,1,0.145
stringtopic,0,0,0,0,0,0,1,0,0,1,0.145
protectedvoidgetschema,0,0,0,0,0,0,1,0,0,1,0.145
消息主题,0,0,0,0,0,0,1,0,0,1,0.145
unsubscribe,0,0,0,0,0,0,1,0,0,1,0.145
订阅主题,0,0,0,0,1,3,2,0,0,6,0.8699999999999999
loadtopic,0,0,0,0,0,0,1,0,0,1,0.145
topiccontents,0,0,0,0,0,0,1,0,0,1,0.145
alltopic,0,0,0,0,0,0,1,0,0,1,0.145
消息空间节点,0,0,0,0,0,0,1,0,0,1,0.145
动态配置,0,0,0,0,0,0,1,0,0,1,0.145
信息,1,0,2,1,6,2,1,0,0,13,2.6799999999999997
端口,0,0,0,0,0,0,6,0,0,6,0.8699999999999999
配置类,0,0,0,0,0,0,2,0,0,2,0.29
动态信息,0,0,0,0,0,0,1,0,0,1,0.145
实体,0,0,1,0,0,0,1,0,0,2,0.27
接口功能,0,0,0,0,0,0,8,0,0,8,1.16
类/,0,0,0,0,0,0,8,0,0,8,1.16
订阅模块,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
编程思想,0,0,0,0,0,0,1,0,0,1,0.145
面向对象,0,0,0,0,2,1,1,0,1,5,0.725
数据接入平台,0,0,0,0,0,0,1,0,0,1,0.145
物联网平台,1,0,0,0,2,0,2,2,0,7,1.8699999999999999
消费者,0,0,0,0,0,0,1,0,0,1,0.145
推理功能模块,0,0,1,0,4,0,4,0,1,10,1.43
事件,7,0,25,1,39,65,26,10,1,174,30.695
发布系统,0,0,0,0,0,0,1,0,0,1,0.145
推理功能,0,0,0,0,1,0,1,1,1,4,0.58
数据,0,0,5,5,0,7,19,10,1,47,6.614999999999999
测试环境,0,0,0,0,0,0,0,5,0,5,0.725
硬盘存储,0,0,0,0,0,0,0,2,0,2,0.29
内存,0,0,2,1,1,1,3,2,0,10,1.39
主频,0,0,0,0,0,0,0,2,0,2,0.29
处理器,0,0,0,0,0,0,0,2,0,2,0.29
硬件配置,0,0,0,0,0,0,0,2,0,2,0.29
runtimeenvi,0,0,0,0,0,0,0,3,0,3,0.43499999999999994
虚拟机,0,0,0,0,0,0,0,3,0,3,0.43499999999999994
java,0,0,0,1,0,1,0,3,0,5,0.705
mongodb,0,0,0,0,0,0,3,4,0,7,1.015
jetty环境,0,0,0,0,0,0,0,2,0,2,0.29
网络浏览器,0,0,0,0,0,0,0,1,0,1,0.145
ment,0,0,0,0,0,0,0,1,0,1,0.145
客户端软件,0,0,0,0,0,0,0,1,0,1,0.145
百兆网,0,0,0,0,0,0,0,1,0,1,0.145
网卡,0,0,0,0,0,0,0,1,0,1,0.145
双核,0,0,0,0,0,0,0,1,0,1,0.145
酷睿,0,0,0,0,0,0,0,1,0,1,0.145
英特尔,0,0,0,0,0,0,0,1,0,1,0.145
客户端,0,0,0,0,1,0,0,1,0,2,0.29
百兆网卡,0,0,0,0,0,0,0,1,0,1,0.145
ghz,0,0,0,0,0,0,0,1,0,1,0.145
cpue5640,0,0,0,0,0,0,0,1,0,1,0.145
xeon,0,0,0,0,0,0,0,1,0,1,0.145
虚拟服务器,0,0,0,0,0,0,0,1,0,1,0.145
ena,0,0,0,3,0,4,0,2,0,9,1.2449999999999999
hermit,0,0,0,8,0,8,1,2,1,20,2.7399999999999998
server,0,0,0,0,0,0,0,2,0,2,0.29
操作系统,0,0,0,0,0,0,0,2,0,2,0.29
虚拟服务软件,0,0,0,0,0,0,0,1,0,1,0.145
数据信息,0,0,0,0,0,0,0,1,0,1,0.145
推理,0,0,1,3,8,11,4,11,2,40,5.72
服务器,0,0,0,1,2,1,3,2,0,9,1.285
运行系统程序程序,0,0,0,0,0,0,0,1,0,1,0.145
推理服务器,0,0,0,0,0,0,0,1,0,1,0.145
后台程度,0,0,0,0,0,0,0,1,0,1,0.145
web后端,0,0,0,0,0,0,0,1,0,1,0.145
目标,0,0,1,0,2,0,3,3,0,9,1.285
数据集,0,0,0,3,2,3,29,44,0,81,11.684999999999999
网页客户端,0,0,0,0,0,0,0,1,0,1,0.145
web客户端,0,0,0,0,0,0,0,1,0,1,0.145
部署拓扑结构,0,0,0,0,0,0,0,1,0,1,0.145
发布订阅系统,0,0,0,4,4,1,0,0,0,9,1.225
使用者,0,0,0,2,0,0,0,0,0,2,0.25
生产者,0,0,0,2,0,0,0,0,0,2,0.25
机器,0,0,0,2,0,0,0,0,0,2,0.25
代理,0,0,0,2,0,0,0,0,0,2,0.25
父主题,0,0,0,2,2,0,0,0,0,4,0.54
接收者,0,0,0,2,0,0,0,0,0,2,0.25
发布订阅,0,0,0,2,1,0,0,0,0,3,0.395
集群,0,0,0,1,0,0,0,0,0,1,0.125
逻辑,0,0,4,9,0,4,1,0,0,18,2.35
分布式系统,0,0,0,1,0,0,0,0,0,1,0.125
consumer,0,0,0,1,0,0,0,0,0,1,0.125
broker,0,0,0,1,0,0,0,0,0,1,0.125
producer,0,0,0,1,0,0,0,0,0,1,0.125
消息生产者,0,0,0,1,0,0,0,0,0,1,0.125
通信,0,0,0,1,0,0,0,0,0,1,0.125
实时处理,1,0,0,1,0,0,0,0,0,2,1.125
离线数据,0,0,0,1,0,0,0,0,0,1,0.125
吞吐率,0,0,0,1,0,0,0,0,0,1,0.125
事件分发机制,0,0,0,1,0,0,0,0,0,1,0.125
大规模分布式系统,0,0,0,1,1,0,0,0,0,2,0.27
耦合特性,0,0,0,1,1,0,0,0,0,2,0.27
子主题,0,0,0,1,1,0,0,0,0,2,0.27
分布式消息中间件,0,0,0,1,0,0,0,0,0,1,0.125
发布订阅技术,0,0,0,1,0,0,0,0,0,1,0.125
订阅者,0,0,0,1,3,0,0,0,0,4,0.5599999999999999
统一消息空间,0,0,0,1,0,0,0,0,0,1,0.125
消息空间,0,0,0,1,0,0,0,0,0,1,0.125
标记,0,0,0,1,0,0,0,0,0,1,0.125
publisher,0,0,0,1,0,0,0,0,0,1,0.125
发送者,0,0,0,1,0,0,0,0,0,1,0.125
信息发布模,0,0,0,1,0,0,0,0,0,1,0.125
订阅消息转发系统,0,0,0,1,0,0,0,0,0,1,0.125
查询语义,0,0,0,1,0,0,0,0,0,1,0.125
tdb,0,0,0,6,0,4,2,1,0,13,1.765
文件数据库,0,0,0,2,0,0,0,0,0,2,0.25
语义web框架,0,0,0,1,0,0,0,0,0,1,0.125
理论求解器,0,0,1,3,0,0,0,0,0,4,0.5
一阶逻辑推理库,0,0,0,1,0,0,0,0,1,2,0.27
本体推理器,0,0,0,4,0,3,1,0,1,9,1.225
hypertableu算法,0,0,0,2,0,0,0,0,0,2,0.25
转换规则,0,0,0,2,0,0,0,0,0,2,0.25
-阶逻辑,0,0,0,1,0,0,0,0,0,1,0.125
描述,0,0,0,2,0,0,0,0,0,2,0.25
描述逻辑,0,1,2,8,0,1,0,0,1,13,3.54
语言,0,0,1,4,0,0,0,0,0,5,0.625
语义web,0,0,0,3,0,0,0,0,0,3,0.375
用户接口,0,0,1,0,2,4,1,1,3,12,1.72
功能,1,0,0,0,0,0,0,13,2,16,3.175
性能指标,0,0,0,0,1,0,0,2,1,4,0.58
事件处理时间,0,0,0,0,0,0,0,1,1,2,0.29
处理时间,0,0,0,0,0,0,0,0,1,1,0.145
推理模块,0,0,1,0,0,3,9,7,1,21,3.025
性能测试,0,0,0,0,0,0,0,11,1,12,1.7399999999999998
测试,0,0,0,0,0,0,0,26,1,27,3.9149999999999996
模块,0,0,0,0,1,1,2,1,1,6,0.8699999999999999
知识库管理,0,0,0,0,0,0,3,1,1,5,0.725
功能性测试,0,0,0,0,0,0,0,1,1,2,0.29
性能,0,0,1,2,1,0,0,7,1,12,1.68
核心代码,0,0,0,0,0,0,0,0,1,1,0.145
一阶逻辑子句,0,0,0,0,0,0,0,0,1,1,0.145
解析,0,0,0,1,0,1,0,0,1,3,0.415
事件接入模块,0,0,2,0,5,6,3,0,1,17,2.425
流程设计,0,0,0,0,0,0,0,0,1,1,0.145
知识管理平台,0,0,0,0,0,0,0,0,1,1,0.145
非功能性,0,0,0,0,1,0,0,0,1,2,0.29
功能性,0,0,0,0,1,0,0,0,1,2,0.29
jena语义web框架,0,0,0,0,0,0,0,0,1,1,0.145
一阶逻辑,0,0,2,5,0,1,0,0,1,9,1.165
本体建模工具,0,0,0,0,0,0,0,0,1,1,0.145
描述语言,0,0,0,1,0,0,0,0,1,2,0.27
本体,0,1,2,7,0,6,5,0,1,22,4.865
物联网服务系统,0,0,1,0,0,0,0,0,1,2,0.27
接入,0,0,0,0,0,1,0,0,1,2,0.29
逻辑推理,0,0,0,1,3,2,0,0,1,7,0.9949999999999999
jetty,0,0,0,10,0,1,3,0,0,14,1.83
echarts,0,0,0,4,0,0,0,0,0,4,0.5
应用程序,0,0,0,3,0,0,0,0,0,3,0.375
动态网页,0,0,0,2,0,0,0,0,0,2,0.25
图表,0,0,0,1,0,0,3,0,0,4,0.5599999999999999
配置,0,0,0,1,0,0,1,0,0,2,0.27
op,0,0,0,1,0,0,0,0,0,1,0.125
异步,0,0,0,1,0,0,0,0,0,1,0.125
异步数据,0,0,0,1,0,0,0,0,0,1,0.125
异步加载,0,0,0,1,0,0,0,0,0,1,0.125
仪表盘,0,0,0,1,0,0,0,0,0,1,0.125
漏斗图,0,0,0,1,0,0,0,0,0,1,0.125
平行坐标,0,0,0,1,0,0,0,0,0,1,0.125
可视化,0,0,0,1,0,0,0,0,0,1,0.125
多维数据,0,0,0,1,0,0,0,0,0,1,0.125
叮视化,0,0,0,1,0,0,0,0,0,1,0.125
关系数据,0,0,0,1,0,0,0,0,0,1,0.125
线图,0,0,0,1,0,0,0,0,0,1,0.125
热力图,0,0,0,1,0,0,0,0,0,1,0.125
地图,0,0,0,1,0,0,0,0,0,1,0.125
视化,0,0,0,1,0,0,0,0,0,1,0.125
地理数据,0,0,0,1,0,0,0,0,0,1,0.125
盒形图,0,0,0,1,0,0,0,0,0,1,0.125
k线图,0,0,0,1,0,0,0,0,0,1,0.125
散点图,0,0,0,1,0,0,0,0,0,1,0.125
柱状图,0,0,0,1,0,0,0,0,0,1,0.125
折线图,0,0,0,1,0,0,0,0,0,1,0.125
移动端,0,0,0,1,0,0,0,0,0,1,0.125
可视化效果,0,0,0,1,0,0,0,0,0,1,0.125
交互功能,0,0,0,1,0,0,0,0,0,1,0.125
echarts3,0,0,0,1,0,0,0,0,0,1,0.125
可视化图表,0,0,0,1,0,0,0,0,0,1,0.125
可交互,0,0,0,1,0,0,0,0,0,1,0.125
生动,0,0,0,1,0,0,0,0,0,1,0.125
zrender,0,0,0,1,0,0,0,0,0,1,0.125
canvas类库,0,0,0,1,0,0,0,0,0,1,0.125
浏览器,0,0,0,1,0,0,0,0,0,1,0.125
移动设备,0,0,0,1,0,0,0,0,0,1,0.125
图表库,0,0,0,1,0,0,0,0,0,1,0.125
轻量级,0,0,0,1,0,0,0,0,0,1,0.125
web组件,0,0,0,1,0,0,0,0,0,1,0.125
会话,0,0,0,1,0,0,0,0,0,1,0.125
用户负载,0,0,0,1,0,0,0,0,0,1,0.125
规范,0,0,0,1,0,0,0,0,0,1,0.125
压力性能损失,0,0,0,1,0,0,0,0,0,1,0.125
底层,0,0,0,1,0,0,0,0,0,1,0.125
线程,0,0,0,1,0,0,1,1,0,3,0.415
静态页,0,0,0,1,0,0,0,0,0,1,0.125
连接停留时间,0,0,0,1,0,0,0,0,0,1,0.125
web2.0,0,0,0,1,0,0,0,0,0,1,0.125
jetty实例,0,0,0,1,0,0,0,0,0,1,0.125
代码,0,0,0,1,2,0,1,0,0,4,0.5599999999999999
行数,0,0,0,1,0,0,0,0,0,1,0.125
box,0,0,0,1,0,0,0,0,0,1,0.125
外盒,0,0,0,1,0,0,0,0,0,1,0.125
配置文件,0,0,0,1,0,1,4,0,0,6,0.85
api,0,0,0,1,0,0,0,0,0,1,0.125
pojos,0,0,0,1,0,0,0,0,0,1,0.125
xml文件语法,0,0,0,1,0,0,0,0,0,1,0.125
xml文件,0,0,0,1,0,0,0,0,0,1,0.125
内嵌组件,0,0,0,1,0,0,0,0,0,1,0.125
java应用程序,0,0,0,1,0,0,0,0,0,1,0.125
mod_proxy,0,0,0,1,0,0,0,0,0,1,0.125
http服务器,0,0,0,1,0,0,0,0,0,1,0.125
静态,0,0,0,1,1,0,0,0,0,2,0.27
web服务器,0,0,0,1,0,0,0,0,0,1,0.125
web连接,0,0,0,1,0,0,0,0,0,1,0.125
java应用,0,0,0,1,0,0,0,0,0,1,0.125
stand-alone,0,0,0,1,0,0,0,0,0,1,0.125
jetty容器,0,0,0,1,0,0,0,0,0,1,0.125
jar包,0,0,0,1,0,0,0,0,0,1,0.125
java语言,0,0,0,1,0,0,0,0,0,1,0.125
运行环境,0,0,0,1,0,0,0,0,0,1,0.125
servlet,0,0,0,1,0,0,0,0,0,1,0.125
jsp,0,0,0,1,0,0,0,0,0,1,0.125
web内容,0,0,0,1,0,0,0,0,0,1,0.125
servlet容器,0,0,0,1,0,0,0,0,0,1,0.125
sparql查询,0,0,0,0,0,2,5,8,0,15,2.175
结果展示,0,0,0,0,1,0,2,1,0,4,0.58
funcdecl,0,0,0,0,0,0,7,0,0,7,1.015
z3函数,0,0,0,0,0,4,7,11,0,22,3.19
inputstream,0,0,0,0,0,1,6,0,0,7,1.015
dlontology,0,0,0,0,0,1,6,1,0,8,1.16
ontmanager,0,0,0,0,0,0,4,0,0,4,0.58
逻辑表达式,0,0,3,0,3,15,7,10,0,38,5.449999999999999
dlontology对象,0,0,0,0,0,0,4,0,0,4,0.58
文件,0,0,0,4,1,2,9,11,0,27,3.835
text,0,0,0,0,0,0,6,0,0,6,0.8699999999999999
函数,0,0,0,3,3,13,4,1,0,24,3.42
函数名,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
funcdeclgenerate,0,0,0,0,0,0,3,1,0,4,0.58
dlclause,0,0,0,1,0,5,3,0,0,9,1.285
本体管理器,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
positivefacts,0,0,0,0,0,1,3,0,0,4,0.58
接口,0,0,1,1,0,6,19,2,0,29,4.164999999999999
param,0,0,0,0,0,0,2,0,0,2,0.29
输入流对象,0,0,0,0,0,0,2,0,0,2,0.29
paramcontext,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
parse,0,0,0,0,0,0,2,0,0,2,0.29
输入流,0,0,0,1,0,1,2,1,0,5,0.705
parowltodlontology,0,0,0,0,0,0,2,0,0,2,0.29
oz,0,0,0,0,0,0,2,0,0,2,0.29
owlontology,0,0,0,0,0,0,2,0,0,2,0.29
reasonerapi,0,0,0,0,0,0,2,0,0,2,0.29
dlciause,0,0,0,0,0,0,2,0,0,2,0.29
parseowltodlontology,0,0,0,0,0,0,2,1,0,3,0.43499999999999994
owlapi,0,0,0,1,0,2,2,0,0,5,0.705
描述逻辑子句,0,0,0,0,0,0,2,1,0,3,0.43499999999999994
对象,0,0,0,1,0,4,3,0,0,8,1.14
本体文件,0,0,0,3,1,6,2,0,0,12,1.68
use,0,0,0,1,0,3,1,0,0,5,0.705
funcdecl对,0,0,0,0,0,0,1,0,0,1,0.145
dlciause对,0,0,0,0,0,0,1,0,0,1,0.145
quantifierget,0,0,0,0,0,0,1,0,0,1,0.145
fundeclgenerate,0,0,0,0,0,0,1,0,0,1,0.145
参数,0,0,1,0,6,15,16,1,0,39,5.635
dlontology域,0,0,0,0,0,0,1,0,0,1,0.145
reasoner对象,0,0,0,0,0,0,1,0,0,1,0.145
owlap,0,0,0,0,0,0,1,0,0,1,0.145
reaininputstream,0,0,0,0,0,0,1,0,0,1,0.145
input,0,0,0,0,0,0,1,0,0,1,0.145
boolexpr,0,0,0,8,0,0,10,0,0,18,2.45
paraminputstream,0,0,0,0,0,0,1,0,0,1,0.145
funcdecu,0,0,0,0,0,0,1,0,0,1,0.145
eam,0,0,0,0,0,0,1,0,0,1,0.145
efroms,0,0,0,0,0,0,1,0,0,1,0.145
parsefromstream,0,0,0,0,0,0,1,0,0,1,0.145
主类,0,0,0,0,0,0,1,0,0,1,0.145
parseowltodlclauses,0,0,0,0,0,0,1,0,0,1,0.145
filefile,0,0,0,0,0,0,1,0,0,1,0.145
owlontologyoparse,0,0,0,0,0,0,1,0,0,1,0.145
mit,0,0,0,0,0,0,1,0,0,1,0.145
单例类,0,0,0,0,0,0,1,0,0,1,0.145
管理器,0,0,0,0,0,0,1,0,0,1,0.145
键利值,0,0,0,0,0,0,1,0,0,1,0.145
一阶逻辑表达式,0,0,0,0,0,0,2,2,0,4,0.58
owl解析模块,0,0,0,0,0,0,1,0,0,1,0.145
lt,0,0,0,0,0,0,1,0,0,1,0.145
集合对象,0,0,0,0,0,0,1,0,0,1,0.145
dlontology对,0,0,0,0,0,1,1,0,0,2,0.29
子句化,0,0,0,0,0,0,1,0,0,1,0.145
子句化过,0,0,0,0,0,0,1,0,0,1,0.145
ongoloty对象,0,0,0,0,0,0,1,0,0,1,0.145
clausify函数,0,0,0,0,0,0,1,0,0,1,0.145
0wlontology,0,0,0,0,0,0,1,0,0,1,0.145
owlclausifier对,0,0,0,0,0,0,1,0,0,1,0.145
内部结构,0,0,0,0,0,0,1,0,0,1,0.145
原生接口,0,0,0,0,0,0,1,0,0,1,0.145
多线程安全,0,0,0,0,0,0,1,0,0,1,0.145
加载流程,0,0,0,0,0,0,1,0,0,1,0.145
标准流,0,0,0,0,0,0,1,0,0,1,0.145
解析文件,0,0,0,0,0,0,1,0,0,1,0.145
owlontology对,0,0,0,0,0,0,1,0,0,1,0.145
owl输入流,0,0,0,0,0,0,1,0,0,1,0.145
parseowltoowlontology,0,0,0,0,0,0,1,0,0,1,0.145
dlclausecf,0,0,0,0,0,0,1,0,0,1,0.145
parse函数,0,0,0,0,0,0,1,0,0,1,0.145
主入口,0,0,0,0,0,0,1,0,0,1,0.145
一阶逻辑转化类,0,0,0,0,0,0,1,0,0,1,0.145
阶逻辑转化时序,0,0,0,0,0,0,1,0,0,1,0.145
时序图,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
加载过,0,0,0,0,0,0,1,0,0,1,0.145
加载函数,0,0,0,0,0,0,1,0,0,1,0.145
数据流,0,0,0,0,0,0,1,0,0,1,0.145
流对象,0,0,0,0,0,0,1,0,0,1,0.145
本体输入,0,0,0,0,0,0,1,0,0,1,0.145
解析翻译,0,0,0,0,0,0,1,0,0,1,0.145
加载,0,0,0,0,0,0,1,0,0,1,0.145
逻辑表达式转化,0,0,0,0,0,0,1,0,0,1,0.145
一阶逻辑表达式转化模块,0,0,0,0,0,0,1,0,0,1,0.145
逻辑子句,0,0,0,1,0,0,1,7,0,9,1.285
知识库管理模块,0,0,0,0,1,0,3,0,0,4,0.58
用户接口模块,0,0,0,0,0,0,2,0,0,2,0.29
程图,0,0,0,0,0,0,1,0,0,1,0.145
订阅,0,0,0,0,4,8,0,0,0,12,1.7399999999999998
数据接入,0,0,0,0,1,0,0,0,0,1,0.145
事件接入模块服务,0,0,0,0,1,0,0,0,0,1,0.145
wsn,0,0,0,0,1,1,0,0,0,2,0.29
端口号,0,0,0,0,1,0,0,0,0,1,0.145
地址,0,0,0,0,1,0,1,0,0,2,0.29
事件接,0,0,0,0,1,0,0,0,0,1,0.145
系统,0,0,1,0,2,1,0,0,0,4,0.5599999999999999
吞吐量,0,0,0,0,1,0,0,3,0,4,0.58
事件处理服务,0,0,0,0,1,0,0,0,0,1,0.145
收发,0,0,0,0,1,0,0,0,0,1,0.145
事件推理模块,0,0,0,0,1,0,0,0,0,1,0.145
事件驱动,0,0,1,0,1,0,0,0,0,2,0.27
事件推理机制,0,0,1,0,1,0,0,0,0,2,0.27
事件接入,0,0,0,0,2,2,0,0,0,4,0.58
功能测试,0,0,0,0,0,0,0,7,0,7,1.015
cpu占用,0,0,0,0,0,0,0,1,0,1,0.145
消息数,0,0,0,0,0,0,0,1,0,1,0.145
推理系统,0,0,0,1,0,0,0,1,0,2,0.27
响应时间,0,0,0,0,0,0,0,1,0,1,0.145
用户,0,0,0,0,3,2,1,1,0,7,1.015
展示,0,0,0,0,0,0,0,1,0,1,0.145
后台,0,0,0,0,1,0,4,8,0,13,1.8849999999999998
前端,0,0,0,0,0,2,1,1,0,4,0.58
原型系统,0,0,0,0,0,0,0,1,0,1,0.145
接收,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
数据订阅,0,0,0,0,0,0,1,0,0,1,0.145
订阅消息空间,0,0,0,0,0,0,1,0,0,1,0.145
数据转发功能,0,0,0,0,0,0,1,0,0,1,0.145
消息间件,0,0,0,0,0,0,1,0,0,1,0.145
物理数据,0,0,0,0,0,0,1,0,0,1,0.145
资源接入,0,0,0,0,0,0,1,0,0,1,0.145
实时数据,0,0,0,0,0,0,1,0,0,1,0.145
物理设备,0,0,0,0,0,0,1,0,0,1,0.145
高速实时数据流,0,0,0,0,0,0,1,0,0,1,0.145
owl,0,0,0,6,0,2,0,1,0,9,1.185
语义框架,0,0,0,1,0,0,0,0,0,1,0.125
pachejena,0,0,0,1,0,0,0,0,0,1,0.125
文件类型,0,0,0,1,0,0,0,0,0,1,0.125
保存格式,0,0,0,1,0,0,0,0,0,1,0.125
ge,0,0,0,2,0,0,0,0,0,2,0.25
文件载体,0,0,0,1,0,0,0,0,0,1,0.125
知识,3,0,6,5,5,11,6,0,0,36,7.5649999999999995
本体处理,0,0,0,1,0,0,0,0,0,1,0.125
apljena,0,0,0,1,0,0,0,0,0,1,0.125
rdf数据,0,0,0,1,0,0,0,0,0,1,0.125
框架,0,0,0,2,0,0,0,0,0,2,0.25
linkeddata,0,0,0,1,0,0,0,0,0,1,0.125
