,摘要,关键词,第一章,第二章,第三章,第四章,总词频,加权得分
hopfield神经网络,0,0,1,0,0,0,1,0.125
被动路由协议,0,0,1,0,0,0,1,0.125
主动,0,0,1,0,0,0,1,0.125
人工逻辑神经网络,0,0,1,0,0,0,1,0.125
cn,0,0,1,0,0,0,1,0.125
训练数据,0,0,1,1,0,0,2,0.25
概率路由,0,0,1,0,0,0,1,0.125
训练,0,0,1,0,1,0,2,0.4875
manet节点,0,0,1,0,0,0,1,0.125
神经学习,0,0,1,0,0,0,1,0.125
aodv协议,0,0,1,0,0,0,1,0.125
faprps,0,0,1,0,0,0,1,0.125
路由数据,0,0,1,0,0,0,1,0.125
逻辑函数,0,0,1,0,0,0,1,0.125
高维数据,0,0,1,0,0,0,1,0.125
状态数量,0,0,1,0,0,0,1,0.125
维度,0,0,1,0,0,0,1,0.125
状态空间,0,0,1,0,0,0,1,0.125
算法,1,0,3,4,2,0,10,2.6
元胞,0,0,1,0,0,0,1,0.125
网络吞吐量,1,0,7,2,3,0,13,3.2125
数据批,0,0,1,0,0,0,1,0.125
动态,0,0,1,0,0,0,1,0.125
机会路径,0,0,1,0,0,0,1,0.125
决策机制,0,0,1,0,0,0,1,0.125
动态协同路由,0,0,1,0,0,0,1,0.125
dcr,0,0,1,0,0,0,1,0.125
mi,0,0,1,0,0,0,1,0.125
性能指标,0,0,2,0,0,0,2,0.25
消息复制时间,0,0,1,0,0,0,1,0.125
调整策略,0,0,1,0,0,0,1,0.125
参数,0,0,1,9,2,0,12,1.975
n流行病路由协议,0,0,1,0,0,0,1,0.125
端到端转发路径,0,0,1,0,0,0,1,0.125
决策,0,0,1,0,0,0,1,0.125
机器学习算法,0,0,2,2,0,0,4,0.5
人工智能,0,0,2,0,0,0,2,0.25
包丢失,0,0,2,0,0,0,2,0.25
质量,0,0,1,0,0,0,1,0.125
q学习算法,0,0,1,0,0,0,1,0.125
流量平衡策略,0,0,1,0,0,0,1,0.125
拥塞信息,0,0,1,0,0,0,1,0.125
自组织网络,0,0,2,0,2,0,4,0.975
流量感知,0,0,1,0,0,0,1,0.125
周周无状态路由,0,0,1,0,0,0,1,0.125
改协议,0,0,1,0,0,0,1,0.125
kmxlkm,0,0,1,0,0,0,1,0.125
tqngpsr,0,0,1,0,0,0,1,0.125
邻居转发,0,0,1,0,0,0,1,0.125
时延值,0,0,1,0,0,0,1,0.125
wa,0,0,1,0,0,0,1,0.125
平均时间,0,0,1,0,0,0,1,0.125
链路故障,0,0,1,0,0,0,1,0.125
问道,0,0,1,0,0,0,1,0.125
发送,0,0,1,0,1,0,2,0.4875
数据速率,0,0,1,0,0,0,1,0.125
mdrma,0,0,1,0,0,0,1,0.125
网络通信质量,0,0,1,0,0,0,1,0.125
传输距离,0,0,1,0,0,0,1,0.125
间隔,0,0,1,0,0,0,1,0.125
自适应间隔节能广播,0,0,1,0,0,0,1,0.125
ee-hello,0,0,1,0,0,0,1,0.125
广播消息,0,0,1,0,0,0,1,0.125
大规模无人机网络,3,0,1,0,0,0,4,3.125
仿真参数,0,0,1,0,0,0,1,0.125
三维空间分布特性,0,0,1,0,0,0,1,0.125
移动自组织,0,0,1,0,0,0,1,0.125
传输干扰,0,0,2,0,0,0,2,0.25
传输功率,0,0,1,0,1,0,2,0.4875
干扰,0,0,2,0,0,0,2,0.25
dp-aodvw,0,0,1,0,0,0,1,0.125
两跳路由,0,0,1,0,0,0,1,0.125
多点中继,0,0,1,0,0,0,1,0.125
地址,0,0,1,0,0,0,1,0.125
rreq,0,0,1,0,0,0,1,0.125
路由控制信息包,0,0,1,0,0,0,1,0.125
广播概率,0,0,1,0,0,0,1,0.125
概率广播,0,0,1,0,0,0,1,0.125
gsp,0,0,1,0,0,0,1,0.125
拓扑消息,0,0,1,0,0,0,1,0.125
远端节点,0,0,1,0,0,0,1,0.125
广播包,0,0,1,7,1,0,9,1.3625
控制,0,0,1,1,0,0,2,0.25
鱼眼技术,0,0,1,0,0,0,1,0.125
ikmxlkm,0,0,1,0,0,0,1,0.125
fsr1,0,0,1,0,0,0,1,0.125
能效,0,0,2,0,0,0,2,0.25
广播过程,0,0,1,0,0,0,1,0.125
泛洪,0,0,1,0,0,0,1,0.125
三维场景,0,0,1,2,0,0,3,0.375
大规模移动自组织网络,0,0,1,0,0,0,1,0.125
奖励回馈值,0,0,1,0,0,0,1,0.125
强化学习,0,0,5,0,3,0,8,1.7125
时延约束条件,0,0,1,0,0,0,1,0.125
时延约束策略,0,0,1,0,0,0,1,0.125
相对速度,0,0,1,0,2,0,3,0.85
传输范,0,0,1,0,0,0,1,0.125
路由度量,0,0,1,0,0,0,1,0.125
连接时延,0,0,1,0,0,0,1,0.125
排队时延,0,0,1,0,0,0,1,0.125
稳定路由,0,0,1,0,0,0,1,0.125
带宽,0,0,1,0,0,0,1,0.125
模糊逻辑,0,0,1,0,0,0,1,0.125
frrp,0,0,1,0,0,0,1,0.125
流量控制,0,0,1,0,0,0,1,0.125
网络层,0,0,1,0,0,0,1,0.125
链路拥塞控制,0,0,1,0,0,0,1,0.125
进程,0,0,1,0,0,0,1,0.125
路由过程,0,0,1,0,0,0,1,0.125
移动性预测,0,0,1,0,0,0,1,0.125
飞机自组网,0,0,1,0,0,0,1,0.125
graa,0,0,1,0,0,0,1,0.125
路由稳定,0,0,1,0,0,0,1,0.125
路由数据包,0,0,1,0,0,0,1,0.125
贪婪地理转发,0,0,1,0,0,0,1,0.125
ggf,0,0,1,0,0,0,1,0.125
网络拓扑,0,0,1,0,0,0,1,0.125
aodv,0,0,1,0,0,0,1,0.125
链路链接,0,0,1,0,0,0,1,0.125
地理模式,0,0,1,0,0,0,1,0.125
反应模式,0,0,1,0,0,0,1,0.125
rgr,0,0,1,0,0,0,1,0.125
链接中断,0,0,1,0,0,0,1,0.125
飞行自组网,0,0,1,0,0,0,1,0.125
链路可用性因子,0,0,1,0,0,0,1,0.125
地理路由机制,0,0,1,0,0,0,1,0.125
接收方,0,0,1,0,0,0,1,0.125
位置服务,0,0,1,0,0,0,1,0.125
发送方,0,0,1,0,0,0,1,0.125
gps位置信息,0,0,1,0,0,0,1,0.125
端到端时延性能,0,0,1,0,0,0,1,0.125
寿命,0,0,2,1,1,0,4,0.7375
网络拥塞,0,0,1,0,0,0,1,0.125
寻路过程,0,0,1,0,0,0,1,0.125
延迟效率,0,0,1,0,0,0,1,0.125
eya,0,0,1,0,0,0,1,0.125
失效时间,0,0,1,0,0,0,1,0.125
节点间,0,0,1,0,0,0,1,0.125
邻居节点数,0,0,1,0,0,0,1,0.125
里链路断裂,0,0,1,0,0,0,1,0.125
路由维护,0,0,1,0,0,0,1,0.125
aodv路由协议,0,0,1,0,0,0,1,0.125
链路稳定性,0,0,1,1,0,0,2,0.25
路由路径,0,0,1,0,0,0,1,0.125
无人机组网,0,0,1,1,0,0,2,0.25
混合型路由协议,0,0,1,0,0,0,1,0.125
拓扑信息,0,0,1,0,0,0,1,0.125
通信节点,0,0,1,0,0,0,1,0.125
链接信息,0,0,1,0,0,0,1,0.125
ip地址,0,0,1,1,0,0,2,0.25
fanet反应式拓扑路由,0,0,1,0,0,0,1,0.125
无人机自组网性能,0,0,1,0,0,0,1,0.125
端到端延迟,0,0,1,0,0,0,1,0.125
传输范围,0,0,1,0,0,0,1,0.125
定向天线,0,0,1,0,0,0,1,0.125
主动路由,0,0,1,0,0,0,1,0.125
d-olsr,0,0,1,0,0,0,1,0.125
反应类型,0,0,1,0,0,0,1,0.125
主动类型,0,0,1,0,0,0,1,0.125
寻路包,0,0,1,0,0,0,1,0.125
无人机群组网路由协议,0,0,1,0,0,0,1,0.125
可靠性,0,0,1,1,0,0,2,0.25
通信质量,0,0,1,0,0,0,1,0.125
无人机技术,0,0,4,0,1,0,5,0.8625
离线训练度量矩阵,0,0,1,0,1,0,2,0.4875
数据发生模块,0,0,0,1,0,0,1,0.125
路由决策模块,0,0,0,2,0,0,2,0.25
离线训练模块,0,0,0,2,0,0,2,0.25
路由更新模块,0,0,0,2,0,0,2,0.25
加权平均,1,0,0,2,0,0,3,1.25
指数,1,0,3,14,0,0,18,3.125
路由协议性能,0,0,0,0,4,0,4,1.45
发包数,0,0,0,0,6,0,6,2.175
自变量,0,0,0,6,9,0,15,4.012499999999999
数据包传输率,0,0,0,3,4,0,7,1.825
无人机辅助网络,0,0,7,0,9,0,16,4.137499999999999
节点数量,0,0,0,10,7,0,17,3.7875
网络路由协议性能,0,0,0,0,2,0,2,0.725
退避时间,0,0,0,0,2,0,2,0.725
移动网络,0,0,0,0,2,0,2,0.725
接入,0,0,4,0,3,0,7,1.5875
运行时间,0,0,0,1,1,0,2,0.4875
自组网节点,0,0,0,1,1,0,2,0.4875
工血呱,0,0,0,0,1,0,1,0.3625
delayarv,0,0,0,0,1,0,1,0.3625
时效性,0,0,0,1,1,0,2,0.4875
缓存策略,0,0,0,1,1,0,2,0.4875
运算时间,0,0,0,1,1,0,2,0.4875
传输,2,0,0,5,1,0,8,2.9875
pdr,0,0,0,3,1,0,4,0.7375
靠性,0,0,0,1,1,0,2,0.4875
拓扑稳定性,0,0,0,1,1,0,2,0.4875
普通节点,0,0,0,0,1,0,1,0.3625
初始能量,0,0,0,0,1,0,1,0.3625
802.11b,0,0,0,1,1,0,2,0.4875
wifi协议,0,0,0,0,1,0,1,0.3625
bytes,0,0,0,0,1,0,1,0.3625
节点群组,0,0,0,0,1,0,1,0.3625
机器人,0,0,0,0,11,0,11,3.9875
无人机基站速度,0,0,0,0,2,0,2,0.725
通信半径,0,0,0,4,2,0,6,1.225
实验参数,0,0,0,1,1,0,2,0.4875
仿真实验,0,0,0,1,1,0,2,0.4875
网络协议,0,0,1,1,1,0,3,0.6125
底层支持,0,0,0,0,1,0,1,0.3625
网络仿真器,0,0,0,1,1,0,2,0.4875
ns3,0,0,0,1,1,0,2,0.4875
ns3网络仿真工具,0,0,0,1,1,0,2,0.4875
实验仿真,0,0,0,1,1,0,2,0.4875
影响因子,0,0,0,1,1,0,2,0.4875
wm,0,0,0,1,1,0,2,0.4875
对比算法,0,0,0,2,1,0,3,0.6125
纳什均衡点,0,0,0,0,1,0,1,0.3625
奖励历史,0,0,0,0,1,0,1,0.3625
个人行为,0,0,0,0,1,0,1,0.3625
分布式信道接,0,0,0,0,1,0,1,0.3625
sla,1,0,1,0,6,0,8,3.3
延迟,0,0,0,0,1,0,1,0.3625
发送概率,0,0,0,0,1,0,1,0.3625
竞争型接入冲突,0,0,0,0,1,0,1,0.3625
qlearner,0,0,0,0,1,0,1,0.3625
mac协议,0,0,8,0,1,0,9,1.3625
竞争窗口,0,0,0,0,1,0,1,0.3625
退避反馈,0,0,0,0,1,0,1,0.3625
深度强化学习mac协议,0,0,0,0,1,0,1,0.3625
q值,0,0,1,0,1,0,2,0.4875
输入状态,0,0,0,0,1,0,1,0.3625
dqn神经网络,0,0,0,0,1,0,1,0.3625
动态变化,0,0,0,0,1,0,1,0.3625
状态,0,0,0,0,1,0,1,0.3625
史状态,0,0,0,0,1,0,1,0.3625
移动场景,0,0,0,0,1,0,1,0.3625
机器学习信道接入算法,0,0,0,0,1,0,1,0.3625
通信性能指标,0,0,0,1,1,0,2,0.4875
机器学习信道,0,0,1,0,1,0,2,0.4875
动态网络,0,0,1,0,1,0,2,0.4875
优先级信道接入,0,0,0,0,1,0,1,0.3625
仿真设,0,0,0,1,1,0,2,0.4875
数据集,0,0,0,10,1,0,11,1.6125
信息增益,0,0,0,6,0,0,6,0.75
转发节点,0,0,3,9,0,0,12,1.5
叶节点,0,0,0,4,0,0,4,0.5
neighborlist,0,0,0,3,0,0,3,0.375
邻居表,0,0,0,10,2,0,12,1.975
邻居跳数,0,0,0,3,0,0,3,0.375
网络密度,0,0,0,4,0,0,4,0.5
移动节点,0,0,1,3,0,0,4,0.5
前向距离,0,0,0,3,0,0,3,0.375
模糊属性集,0,0,0,3,0,0,3,0.375
循环,0,0,0,3,0,0,3,0.375
预测跳数,0,0,0,2,0,0,2,0.25
低速,0,0,0,2,0,0,2,0.25
id3算法,0,0,0,2,0,0,2,0.25
隶属度函数,0,0,0,2,0,0,2,0.25
pr,0,0,0,2,0,0,2,0.25
跳数阈值,0,0,0,2,0,0,2,0.25
邻居节点度,0,0,0,2,1,0,3,0.6125
degree,0,0,0,2,1,0,3,0.6125
距离,0,0,1,4,2,0,7,1.35
时间间隔,0,0,3,2,0,0,5,0.625
跳数预测,0,0,0,3,0,0,3,0.375
叶子节点,0,0,0,2,0,0,2,0.25
模糊决策,0,0,0,2,0,0,2,0.25
分支,0,0,0,2,0,0,2,0.25
隶属度,0,0,0,2,0,0,2,0.25
hopmin,0,0,0,1,0,0,1,0.125
fitoa,0,0,0,1,0,0,1,0.125
邻居信息,0,0,0,2,1,0,3,0.6125
候选转发节点集,0,0,0,2,0,0,2,0.25
伪码,0,0,0,2,1,0,3,0.6125
离线训练,0,0,1,1,1,0,3,0.6125
策树,0,0,1,1,0,0,2,0.25
新鲜,0,0,0,1,0,0,1,0.125
贪婪转发,0,0,0,1,0,0,1,0.125
最小跳数,0,0,0,1,0,0,1,0.125
最短跳数,0,0,0,1,0,0,1,0.125
属性术,0,0,0,1,0,0,1,0.125
分类规则,0,0,0,1,0,0,1,0.125
根节点,0,0,0,1,0,0,1,0.125
in,0,0,0,1,0,0,1,0.125
高速,0,0,0,1,0,0,1,0.125
中速,0,0,0,1,0,0,1,0.125
数据量,0,0,0,1,0,0,1,0.125
取值集合,0,0,0,1,0,0,1,0.125
entropy,0,0,0,1,0,0,1,0.125
e心丿,0,0,0,1,0,0,1,0.125
模糊化属性,0,0,0,1,0,0,1,0.125
拟合特征,0,0,0,1,0,0,1,0.125
全进度,0,0,0,1,0,0,1,0.125
进度,0,0,0,1,0,0,1,0.125
a4-speed,0,0,0,1,0,0,1,0.125
as-direct,0,0,0,1,0,0,1,0.125
离散变量,0,0,0,1,0,0,1,0.125
跳数属性,0,0,0,1,0,0,1,0.125
模糊语义,0,0,0,1,0,0,1,0.125
输入属性,0,0,0,1,0,0,1,0.125
三角模糊数中心,0,0,0,1,0,0,1,0.125
属性值,0,0,0,1,0,0,1,0.125
属性数据,0,0,0,1,0,0,1,0.125
属性模糊处理,0,0,0,1,0,0,1,0.125
预测跳数值,0,0,0,1,0,0,1,0.125
nres,0,0,0,1,0,0,1,0.125
标签,0,0,0,1,0,0,1,0.125
训练标签,0,0,0,1,0,0,1,0.125
连线,0,0,0,1,0,0,1,0.125
progudmjd,0,0,0,1,0,0,1,0.125
最大传输距离,0,0,0,1,0,0,1,0.125
vj,0,0,0,1,0,0,1,0.125
i节点,0,0,0,1,0,0,1,0.125
zet,0,0,0,1,0,0,1,0.125
-speed,0,0,0,1,0,0,1,0.125
direct,0,0,0,1,0,0,1,0.125
跳数更新时间间隔,0,0,0,1,0,0,1,0.125
ujime,0,0,0,1,0,0,1,0.125
ai-ujime,0,0,0,1,0,0,1,0.125
ai-hopupdate,0,0,0,1,0,0,1,0.125
hoppre,0,0,0,1,0,0,1,0.125
周期性更新,0,0,0,1,0,0,1,0.125
hopupdate,0,0,0,1,0,0,1,0.125
特征属性,0,0,0,1,0,0,1,0.125
分布式信息,0,0,0,1,0,0,1,0.125
目标,0,0,0,1,0,0,1,0.125
属性集,0,0,0,1,0,0,1,0.125
模糊子集,0,0,0,1,0,0,1,0.125
离散值域,0,0,0,1,0,0,1,0.125
模糊决策树符号,0,0,0,1,0,0,1,0.125
测试数据,0,0,0,1,2,0,3,0.85
无人机内存,0,0,0,2,1,0,3,0.6125
树结构,0,0,0,1,0,0,1,0.125
模糊属性,0,0,0,1,0,0,1,0.125
符号,0,0,0,1,0,0,1,0.125
模糊决霞树符号,0,0,0,1,0,0,1,0.125
深度强化学习,0,0,5,0,0,0,5,0.625
图卷积网络,0,0,3,0,0,0,3,0.375
轮询间隔,0,0,3,0,0,0,3,0.375
时隙,0,0,4,0,0,0,4,0.5
分配型,0,0,3,0,0,0,3,0.375
地空通信系统,0,0,3,0,0,0,3,0.375
干扰模式,0,0,2,0,0,0,2,0.25
无线局域网,0,0,2,0,0,0,2,0.25
载波感知,0,0,2,0,0,0,2,0.25
生存期,0,0,2,0,0,0,2,0.25
强化学习技术,0,0,2,0,0,0,2,0.25
分布式,0,0,2,2,0,0,4,0.5
长度,0,0,2,0,0,0,2,0.25
竞争时隙,0,0,2,0,0,0,2,0.25
rl-mac,0,0,2,0,0,0,2,0.25
ql-mac,0,0,2,0,0,0,2,0.25
ao-aloha,0,0,2,0,0,0,2,0.25
数据采集,0,0,2,0,0,0,2,0.25
侦听,0,0,2,0,0,0,2,0.25
无人机辅助通信系统,0,0,2,0,0,0,2,0.25
链路质量,0,0,2,0,0,0,2,0.25
载波感知关系,0,0,1,0,0,0,1,0.125
可观测拓扑,0,0,1,0,0,0,1,0.125
协调控制,0,0,1,0,0,0,1,0.125
在线信道,0,0,1,0,0,0,1,0.125
增强学习,0,0,1,0,0,0,1,0.125
滑动窗口,0,0,1,0,0,0,1,0.125
深度学习,0,0,1,0,0,0,1,0.125
sdrla算法,0,0,1,0,0,0,1,0.125
原始谱信息,0,0,1,0,0,0,1,0.125
序列深度强化学习算法,0,0,1,0,0,0,1,0.125
无先验信息,0,0,1,0,0,0,1,0.125
数据包丢失,0,0,1,0,0,0,1,0.125
传感器设备,0,0,1,0,0,0,1,0.125
机载深度强化学习网络,0,0,1,0,0,0,1,0.125
瞬时巡逻速度,0,0,1,0,0,0,1,0.125
感知误差,0,0,1,0,0,0,1,0.125
信道感知,0,0,1,0,0,0,1,0.125
时间相关性,0,0,1,0,0,0,1,0.125
动态接入网络,0,0,1,0,0,0,1,0.125
通信策略,0,0,1,0,0,0,1,0.125
信道感知误差,0,0,1,0,0,0,1,0.125
分布式动态接入网络,0,0,1,0,0,0,1,0.125
成功传输,0,0,1,0,0,0,1,0.125
向量测量单元,0,0,1,0,0,0,1,0.125
信噪比,0,0,1,0,0,0,1,0.125
相量测量单元,0,0,1,0,0,0,1,0.125
功率控制,0,0,1,0,0,0,1,0.125
分布式信道接入,0,0,1,0,0,0,1,0.125
hetnets,0,0,1,0,0,0,1,0.125
智能电网,0,0,1,0,0,0,1,0.125
公平性,0,0,1,0,0,0,1,0.125
信道访问时延,0,0,1,0,0,0,1,0.125
无线传输环境,0,0,1,0,0,0,1,0.125
iqra算法,0,0,1,0,0,0,1,0.125
智能,0,0,1,0,0,0,1,0.125
mac层资源,0,0,1,0,0,0,1,0.125
密集无线局域网,0,0,1,0,0,0,1,0.125
低延迟,0,0,1,0,0,0,1,0.125
反馈信息,0,0,1,0,0,0,1,0.125
自适应时分多址协议,0,0,1,0,0,0,1,0.125
流量,0,0,1,0,0,0,1,0.125
itrio,0,0,1,0,0,0,1,0.125
pad,0,0,1,0,0,0,1,0.125
传输冲突,0,0,5,3,0,0,8,1.0
传输权限,0,0,1,0,0,0,1,0.125
无线网络,0,0,1,0,0,0,1,0.125
信道反馈,0,0,1,0,0,0,1,0.125
自适应学习mac协议,0,0,1,0,0,0,1,0.125
保留机制,0,0,1,0,0,0,1,0.125
