(uud, uud): 2
(原子核, Atomic nucleus): 16
(穆斯堡尔效应, Mössbauer effect): 1
(强相互作用反应, Strong interaction reaction): 1
(t-粲物理实验, t-charm physics experiment): 1
(重子, Baryon): 13
(盖耳曼, Gell-Mann): 3
(uds, uds): 2
(核裂变, nuclear fission): 1
(军用放射性同位素, Military radioactive isotopes): 1
(强子, Hadron): 10
(功率, Power): 1
(反粒子, antiparticles): 3
(同位旋, Isospin): 10
(原子能, Atomic energy): 1
(磁特性, Magnetic properties): 1
(UUU, UUU): 1
(Tu, Tu): 1
(同位旋守恒, Conservation of isospin): 0
(反夸克, Antiquark): 13
(无反冲吸收, No recoil absorption): 1
(介子, meson): 11
(顶数, topness): 2
(实验研究反应堆, Experimental research reactor): 1
(中子活化分析, Neutron activation analysis): 1
(基态, Ground state): 2
(重要标志, Important symbol): 1
(tt+-?jul++x, tt+-?jul++x): 1
(电荷守恒, Conservation of charge): 0
(相对线宽, Relative line width): 2
(K+, K+): 1
(中子数, neutron number): 1
(亮度, luminosity): 5
(色量子数, color charge): 1
(静止的5^粒子, Stationary 5^ particle): 1
(氧, oxygen): 1
(e'-?v, +-y, e'-?v,+-y): 1
(附录I, Appendix I): 1
(强子结构的夸克模型, quark model of hadrons): 5
(北京正负电子对撞机, Beijing Electron-Positron Collider): 3
(晶体, Crystal): 1
(奇异数, Strangeness): 7
(奇夸克S, strange quark): 2
(p+p—+x, p+p—+x): 1
(核聚变, nuclear fusion): 2
(F, F): 5
(原子核的半径, radius of atomic nuclei): 1
(+n—e+p, +n—e+p): 0
(ir+, ir+): 2
(粒子物理, particle physics): 6
(D, D): 7
(胶子, gluon): 2
(放射性计量标准, Radiometric measurement standards): 1
(重水研究反应堆, Heavy water research reactor): 1
(引力子, Graviton): 1
(放射性同位素生产, Production of radioactive isotopes): 2
(相互作用, Interaction): 17
(TT+, TT+): 1
(欧洲核子中心, CERN): 1
(p+p—?K0+A°+p+x, p+p—?K0+A°+p+x): 1
(玻色子, Boson): 2
(规范玻色子, Gauge boson): 1
(反夸克, antiquark): 13
(实验室中已观察到的过程, Processes observed in the laboratory): 0
(北京正负电子对撞机, BEPC): 3
(速度驱动器, Velocity driver): 1
(191Ir核, 191Ir nucleus): 1
(介子, Meson): 11
(IT*, IT*): 1
(守恒定律, Conservation law): 3
(比结合能, Binding energy per nucleon): 3
(粲夸克c, charm quark): 2
(粲物理, charm physics): 2
