,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
物理信道,0,0,0,0,1,3,0,0,0,4,0.58
逻辑信道,0,0,0,0,2,1,0,0,1,4,0.58
专用控制信令,0,0,0,0,4,0,0,0,0,4,0.58
d2d,0,0,2,9,6,4,1,2,0,24,3.26
d2d通信流程,1,0,1,1,5,3,0,0,0,11,2.41
d2d验证,0,0,0,0,1,0,0,0,0,1,0.145
d2d通信技术,0,0,0,0,1,0,0,0,1,2,0.29
rlctx,0,0,0,0,0,6,0,0,0,6,0.8699999999999999
rrm,0,0,0,0,0,10,0,0,0,10,1.45
buffer,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
rlctx接口,0,0,0,0,0,2,0,0,0,2,0.29
资源调度,0,0,0,1,0,3,1,0,0,5,0.705
发送队列,0,0,0,0,1,3,0,0,0,4,0.58
refill,0,0,0,0,0,2,0,0,0,2,0.29
rlcpdu,0,0,0,0,0,8,0,0,0,8,1.16
ip接口层,0,0,0,0,0,7,0,0,0,7,1.015
数据缓冲区,0,0,0,0,0,1,0,0,0,1,0.145
互斥锁,0,0,0,0,0,1,0,0,0,1,0.145
异步,0,0,0,0,0,1,0,0,0,1,0.145
系统延时,0,0,0,0,0,1,0,0,0,1,0.145
系统逻辑,0,0,0,0,0,1,0,0,0,1,0.145
ip数据,0,0,0,0,0,1,0,0,0,1,0.145
loopo接口,0,0,0,0,0,1,0,0,0,1,0.145
macsdu,0,0,0,0,0,4,0,0,0,4,0.58
rlc包头,0,0,0,0,0,1,0,0,0,1,0.145
数据包,0,0,0,0,0,5,0,0,0,5,0.725
数据负载量,0,0,0,0,0,1,0,0,0,1,0.145
传输,0,0,0,0,6,9,0,3,1,19,2.755
队列数据,0,0,0,0,0,1,0,0,0,1,0.145
pull_buffer,0,0,0,0,0,1,0,0,0,1,0.145
待发送数据量,0,0,0,0,0,1,0,0,0,1,0.145
rts发送,0,0,0,0,0,1,0,0,0,1,0.145
mac层,0,0,0,0,1,11,1,0,0,13,1.8849999999999998
队列缓冲报告,0,0,0,0,0,1,0,0,0,1,0.145
status,0,0,0,0,0,1,0,0,0,1,0.145
op,0,0,0,0,0,2,0,0,0,2,0.29
size,0,0,0,0,0,1,0,0,0,1,0.145
pullbuffer,0,0,0,0,0,1,0,0,0,1,0.145
getbufferstatus,0,0,0,0,0,1,0,0,0,1,0.145
主要接口,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
ip数据包,0,0,0,0,0,17,0,0,0,17,2.465
pdu组装,0,0,0,0,0,1,0,0,0,1,0.145
分割級联,0,0,0,0,0,1,0,0,0,1,0.145
缓冲,0,0,0,0,0,1,1,0,0,2,0.29
等待队列,0,0,0,0,0,1,0,0,0,1,0.145
发送等待队列,0,0,0,0,0,1,0,0,0,1,0.145
ip地址,0,0,0,1,2,5,0,0,0,8,1.14
高层数据,0,0,0,0,0,1,0,0,0,1,0.145
数据读取接口,0,0,0,0,0,1,0,0,0,1,0.145
中继能力,0,0,0,0,0,0,0,1,0,1,0.145
干扰管理能力,0,0,0,0,0,0,0,1,0,1,0.145
组网,2,0,1,1,0,0,0,1,1,6,2.54
验证平台,0,0,2,4,1,0,2,1,1,11,1.475
ups电源,0,0,0,0,0,0,0,1,0,1,0.145
人机接口,0,0,0,0,0,0,0,1,0,1,0.145
射频收发天线,0,0,0,0,0,0,0,1,0,1,0.145
gpp服务器,0,0,0,0,0,4,0,1,0,5,0.725
原型机,0,0,0,0,0,0,0,1,0,1,0.145
多核gpp服务器,0,0,0,0,0,0,0,1,0,1,0.145
系统性能,0,0,0,1,0,0,0,2,0,3,0.415
样本,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
基带信号,0,0,2,0,0,6,0,0,0,8,1.1199999999999999
时刻,0,0,0,0,0,2,0,0,0,2,0.29
基准时间,0,0,0,0,0,2,0,0,0,2,0.29
样周期,0,0,0,0,0,2,0,0,0,2,0.29
uhd,0,0,0,0,0,5,0,0,0,5,0.725
时钟信号,0,0,0,0,0,2,0,0,0,2,0.29
数据流,0,0,0,0,0,5,0,0,0,5,0.725
误差,0,0,0,0,1,1,0,0,0,2,0.29
舍入误差,0,0,0,0,0,1,0,0,0,1,0.145
样率转换比,0,0,0,0,0,1,0,0,0,1,0.145
定时控制,0,0,0,0,0,1,0,0,0,1,0.145
空口数据,0,0,0,0,0,1,0,0,0,1,0.145
usrp时钟,0,0,0,0,0,1,0,0,0,1,0.145
目标时间戳,0,0,0,0,0,1,0,0,0,1,0.145
物理层信号,0,0,0,0,0,1,0,0,0,1,0.145
复样本,0,0,0,0,0,1,0,0,0,1,0.145
时间周期,0,0,0,0,0,1,0,0,0,1,0.145
时刻系统,0,0,0,0,0,1,0,0,0,1,0.145
长整形数,0,0,0,0,0,1,0,0,0,1,0.145
无符号,0,0,0,0,0,1,0,0,0,1,0.145
时钟同步,0,0,0,0,0,1,0,0,0,1,0.145
usrp硬件,0,0,0,0,0,1,0,0,0,1,0.145
时间戳机制,0,0,0,0,0,1,0,0,0,1,0.145
硬件时钟,0,0,0,0,0,1,0,0,0,1,0.145
操作系统,2,0,3,0,0,8,12,3,0,28,5.71
实时,0,0,0,0,0,1,1,0,1,3,0.43499999999999994
信号损失,0,0,0,0,0,1,0,0,0,1,0.145
低频滤波操作,0,0,0,0,0,1,0,0,0,1,0.145
变采样,0,0,0,0,0,1,0,0,0,1,0.145
rb,0,0,0,0,8,5,0,2,0,15,2.175
d2d-ccch,0,0,0,0,4,7,2,1,0,14,2.03
频带,0,0,2,1,3,1,0,0,1,8,1.1
ete基带信号,0,0,0,0,0,2,0,0,0,2,0.29
采样率转换比,0,0,0,0,0,1,0,0,0,1,0.145
采样,0,0,0,0,0,1,0,0,0,1,0.145
25m,0,0,0,0,0,1,0,0,0,1,0.145
接收端,0,0,0,2,9,8,0,0,0,19,2.715
数据服务,0,0,0,0,0,2,0,0,0,2,0.29
基带样率,0,0,0,0,0,1,0,0,0,1,0.145
数据通信,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
基带,0,0,0,1,0,2,0,0,0,3,0.415
解码,0,0,0,1,9,19,3,0,0,32,4.62
pdcch,0,0,0,0,4,8,0,0,0,12,1.7399999999999998
pdsch模块,0,0,0,0,0,8,0,0,0,8,1.16
pdsch,0,0,0,0,2,6,0,0,0,8,1.16
解资源映射,0,0,0,0,0,6,0,0,0,6,0.8699999999999999
pcfich信道,0,0,0,0,0,5,0,0,0,5,0.725
功能接口,0,0,0,0,0,7,0,0,0,7,1.015
phich信道,0,0,0,0,0,4,0,0,0,4,0.58
pdcch盲检测,0,0,0,0,0,3,3,0,0,6,0.8699999999999999
蜂窝,0,0,0,2,0,4,0,14,0,20,2.86
pdcch信道,0,0,0,1,1,3,0,0,0,5,0.705
分配信息,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
rb资源,0,0,0,0,1,3,0,0,0,4,0.58
pdcchpath,0,0,0,0,0,2,0,0,0,2,0.29
pdcchdersrcmap,0,0,0,0,0,2,0,0,0,2,0.29
pdsch解码,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
pdcch盲检测模块,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
ath,0,0,0,0,0,2,0,0,0,2,0.29
pdcchders,0,0,0,0,0,2,0,0,0,2,0.29
map,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
dciformat0,0,0,0,0,0,2,0,0,0,2,0.29
重传,0,0,0,1,0,8,0,0,0,9,1.285
phich,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
蜂窝上行通信资源,0,0,0,0,0,2,0,0,0,2,0.29
信道,0,0,0,0,1,5,0,0,0,6,0.8699999999999999
dci,0,0,0,0,0,2,0,0,0,2,0.29
pdsch模块逻辑,0,0,0,0,0,1,0,0,0,1,0.145
pdsch线程,0,0,0,0,0,1,0,0,0,1,0.145
pdcch检测,0,0,0,0,0,1,0,0,0,1,0.145
执行逻辑,0,0,0,0,0,2,0,0,0,2,0.29
补偿因子,0,0,0,0,0,2,0,0,0,2,0.29
上行通信链路,0,0,0,0,0,1,0,0,0,1,0.145
静态工作点,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
上行用户,0,0,0,0,0,1,0,0,0,1,0.145
发射功率,0,0,0,3,6,2,0,1,0,12,1.68
参考信号,0,0,0,0,1,1,0,0,0,2,0.29
专属,0,0,0,0,0,1,0,0,0,1,0.145
pucch,0,0,0,0,2,2,0,3,0,7,1.015
prach信道,0,0,0,0,0,1,0,0,0,1,0.145
msg,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
sib消息,0,0,0,0,0,1,0,0,0,1,0.145
函数,0,0,0,0,0,12,0,0,0,12,1.7399999999999998
pdschpath,0,0,0,0,0,1,0,0,0,1,0.145
phypdsch模块,0,0,0,0,0,1,0,0,0,1,0.145
资源配置,0,0,0,0,0,1,0,0,0,1,0.145
信息,0,0,0,0,0,2,0,0,0,2,0.29
配置信息,0,0,0,0,1,1,0,0,0,2,0.29
资源,0,0,0,8,7,2,0,0,1,18,2.45
上行信道,0,0,0,0,0,1,0,0,0,1,0.145
sfeminformationblocks,0,0,0,0,0,1,0,0,0,1,0.145
sib,0,0,0,0,1,1,0,0,0,2,0.29
d2d业务数据,0,0,0,0,0,1,0,0,0,1,0.145
pdsch信道,0,0,0,0,1,1,0,0,0,2,0.29
盲解码线程,0,0,0,0,0,1,0,0,0,1,0.145
pdcch线程,0,0,0,0,0,1,0,0,0,1,0.145
pcfich,0,0,0,0,0,1,0,0,0,1,0.145
top,0,0,0,0,0,1,0,0,0,1,0.145
上报功能接口,0,0,0,0,0,1,0,0,0,1,0.145
上行资源,0,0,1,1,0,1,0,0,1,4,0.54
phy蜂窝,0,0,0,0,0,1,0,0,0,1,0.145
协议,0,0,0,0,0,1,0,0,0,1,0.145
pdcchcoremsg,0,0,0,0,0,1,0,0,0,1,0.145
调度信息,0,0,0,0,0,1,0,0,0,1,0.145
蜂窝上行资源,0,0,0,3,0,1,0,0,0,4,0.52
基站,2,0,2,14,11,5,0,1,0,35,6.465
dcihitopuschrsrcmap,0,0,0,0,0,1,0,0,0,1,0.145
pdcchdciformat0,0,0,0,0,0,1,2,0,0,3,0.43499999999999994
dehipath,0,0,0,0,0,1,0,0,0,1,0.145
srcmap,0,0,0,0,0,1,0,0,0,1,0.145
de,0,0,0,0,0,1,0,0,0,1,0.145
phyphich模块,0,0,0,0,0,1,0,0,0,1,0.145
phich模块,0,0,0,0,0,1,0,0,0,1,0.145
盲检测,0,0,0,0,0,1,0,0,0,1,0.145
pdcchpathford2d0函数,0,0,0,0,0,1,0,0,0,1,0.145
rcmapford2d°函数,0,0,0,0,0,1,0,0,0,1,0.145
pdcc,0,0,0,0,0,1,0,0,0,1,0.145
ford,0,0,0,0,0,1,0,0,0,1,0.145
盲检测模块,0,0,0,0,0,1,0,0,0,1,0.145
phypdcch,0,0,0,0,0,1,0,0,0,1,0.145
